#EXPORTTYPE:                 	DATA ALL                                                                                                                                     
#FILE:                       	20260225_Al_WO3_30_70_act_Ar_20Kmin_2_check.ngb-ss5                                                                                          
#FORMAT:                     	NETZSCH5                                                                                                                                     
#FTYPE:                      	ASCII                                                                                                                                        
#IDENTITY:                   	AlWO3 ACT 30 70                                                                                                                              
#DECIMAL:                    	POINT                                                                                                                                        
#SEPARATOR:                  	TAB                                                                                                                                          
#MTYPE:                      	DTA                                                                                                                                          
#INSTRUMENT:                 	NETZSCH STA 449F5                                                                                                                            
#PROJECT:                    	THREAD                                                                                                                                       
#DATE/TIME:                  	27/02/2026 11:59:11 (UTC+1)                                                                                                                  
#CORR. FILE:                 	                                                                                                                                             
#TEMPCAL:                    	20260211_DTATG_CAL_AR_20KMIN_quadratic_T.ngb-ts5                                                                                             
#SENSITIVITY:                	20260211_20Kmin_DTATG_Ar_sens.ngb-es5                                                                                                        
#LABORATORY:                 	Politecnico Milano                                                                                                                           
#OPERATOR:                   	Paravan                                                                                                                                      
#REMARK:                     	Al_WO3_40_60 activated thermite by REACTIVE   heating program: 20 K/min Ar 0 50 20  T_start=25 ›C T_end = 1400›C  m_sample_mettler = 0.01714g
#SAMPLE:                     	AlWO3 ACT 30 70                                                                                                                              
#SAMPLE MASS /mg:            	16.9120                                                                                                                                      
#MATERIAL:                   	Al_WO3_thermite                                                                                                                              
#REFERENCE:                  	-                                                                                                                                            
#REFERENCE MASS /mg:         	0                                                                                                                                            
#TYPE OF CRUCIBLE:           	DTA/TG crucible Al2O3                                                                                                                        
#SAMPLE CRUCIBLE MASS /mg:   	0                                                                                                                                            
#REFERENCE CRUCIBLE MASS /mg:	0                                                                                                                                            
#TG RANGE /mg:               	35000                                                                                                                                        
#TAU-R:                      	---                                                                                                                                          
#CORR. CODE:                 	000                                                                                                                                          
#EXO:                        	+1                                                                                                                                           
#RANGE:                      	25›C/20,0(K/min)/1400›C                                                                                                                      
#SEGMENT:                    	S1/1                                                                                                                                         
#SEG. 1:                     	25›C/20,0(K/min)/1400›C                                                                                                                      

##Temp./›C	Time/min	DTA/(mW/mg)	Mass/%	Gas Flow(purge2)/(ml/min)	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)
  20.50400	 0.00000	 1.78896	100.00000	50.00000	20.00000	0.15234
  20.50400	 0.01000	 1.78896	100.00059	50.00000	20.00000	0.15234
  20.50400	 0.02000	 1.78896	100.00059	50.00000	20.00000	0.15234
  20.50500	 0.03000	 1.78896	100.00059	50.00000	20.00000	0.15234
  20.50500	 0.04000	 1.78896	100.00118	50.00000	20.00000	0.15234
  20.50400	 0.05000	 1.78896	100.00118	50.00000	20.00000	0.15234
  20.50400	 0.06000	 1.78896	100.00177	50.00000	20.00000	0.15234
  20.50400	 0.07000	 1.78896	100.00177	50.00000	20.00000	0.15234
  20.50400	 0.08000	 1.78896	100.00237	50.00000	20.00000	0.15234
  20.50400	 0.09000	 1.78896	100.00296	50.00000	20.00000	0.15234
  20.50400	 0.10000	 1.78896	100.00355	50.00000	20.00000	0.15234
  20.50400	 0.11000	 1.78896	100.00355	50.00000	20.00000	0.15234
  20.50400	 0.12000	 1.78896	100.00414	50.00000	20.00000	0.15234
  20.50400	 0.13000	 1.78896	100.00473	50.00000	20.00000	0.15234
  20.50400	 0.14000	 1.78896	100.00532	50.00000	20.00000	0.15234
  20.50400	 0.15000	 1.78896	100.00532	50.00000	20.00000	0.15234
  20.50400	 0.16000	 1.78896	100.00591	50.00000	20.00000	0.15234
  20.50400	 0.17000	 1.78896	100.00591	50.00000	20.00000	0.15234
  20.50300	 0.18000	 1.78896	100.00650	50.00000	20.00000	0.15234
  20.50300	 0.19000	 1.78896	100.00650	50.00000	20.00000	0.15234
  20.50300	 0.20000	 1.78896	100.00650	50.00000	20.00000	0.15234
  20.50300	 0.21000	 1.78896	100.00650	50.00000	20.00000	0.15234
  20.50300	 0.22000	 1.78896	100.00710	50.00000	20.00000	0.15234
  20.50300	 0.23000	 1.78896	100.00710	50.00000	20.00000	0.15234
  20.50300	 0.24000	 1.78896	100.00769	50.00000	20.00000	0.15234
  20.50300	 0.25000	 1.78896	100.00769	50.00000	20.00000	0.15234
  20.50300	 0.26000	 1.78896	100.00828	50.00000	20.00000	0.15234
  20.50300	 0.27000	 1.78896	100.00887	50.00000	20.00000	0.15234
  20.50300	 0.28000	 1.78896	100.00887	50.00000	20.00000	0.15234
  20.50300	 0.29000	 1.78896	100.00946	50.00000	20.00000	0.15234
  20.50300	 0.30000	 1.78896	100.00946	50.00000	20.00000	0.15234
  20.50300	 0.31000	 1.78896	100.01064	50.00000	20.00000	0.15234
  20.50300	 0.32000	 1.78896	100.01123	50.00000	20.00000	0.15234
  20.50300	 0.33000	 1.78896	100.01183	50.00000	20.00000	0.15234
  20.50300	 0.34000	 1.78896	100.01242	50.00000	20.00000	0.15234
  20.50300	 0.35000	 1.78896	100.01360	50.00000	20.00000	0.15234
  20.50300	 0.36000	 1.78896	100.01537	50.00000	20.00000	0.15234
  20.50200	 0.37000	 1.78897	100.01656	50.00000	20.00000	0.15234
  20.50200	 0.38000	 1.78897	100.01833	50.00000	20.00000	0.15234
  20.50200	 0.39000	 1.78897	100.02010	50.00000	20.00000	0.15234
  20.50200	 0.40000	 1.78897	100.02188	50.00000	20.00000	0.15234
  20.50200	 0.41000	 1.78897	100.02306	50.00000	20.00000	0.15234
  20.50200	 0.42000	 1.78897	100.02483	50.00000	20.00000	0.15234
  20.50200	 0.43000	 1.78897	100.02661	50.00000	20.00000	0.15234
  20.50200	 0.44000	 1.78897	100.02838	50.00000	20.00000	0.15234
  20.50200	 0.45000	 1.78897	100.03016	50.00000	20.00000	0.15234
  20.50200	 0.46000	 1.78897	100.03370	50.00000	20.00000	0.15234
  20.50200	 0.47000	 1.78897	100.03725	50.00000	20.00000	0.15234
  20.50200	 0.48000	 1.78897	100.04080	50.00000	20.00000	0.15234
  20.50200	 0.49000	 1.78897	100.04376	50.00000	20.00000	0.15234
  20.50200	 0.50000	 1.78897	100.04671	50.00000	20.00000	0.15234
  20.50200	 0.51000	 1.78897	100.04908	50.00000	20.00000	0.15234
  20.50200	 0.52000	 1.78897	100.05203	50.00000	20.00000	0.15234
  20.50200	 0.53000	 1.78897	100.05440	50.00000	20.00000	0.15234
  20.50200	 0.54000	 1.78897	100.05736	50.00000	20.00000	0.15234
  20.50100	 0.55000	 1.78897	100.05972	50.00000	20.00000	0.15234
  20.50100	 0.56000	 1.78897	100.06563	50.00000	20.00000	0.15234
  20.50100	 0.57000	 1.78897	100.07214	50.00000	20.00000	0.15234
  20.50100	 0.58000	 1.78897	100.07923	50.00000	20.00000	0.15234
  20.50100	 0.59000	 1.79045	100.08456	50.00000	20.00000	0.15234
  20.50000	 0.60000	 1.78927	100.08692	50.00000	20.00000	0.15234
  20.50000	 0.61000	 1.78897	100.09165	50.00000	20.00000	0.15234
  20.50100	 0.62000	 1.79045	100.09520	50.00000	20.00000	0.15234
  20.50100	 0.63000	 1.79578	100.09875	50.00000	20.00000	0.15234
  20.50100	 0.64000	 1.78956	100.10466	50.00000	20.00000	0.15234
  20.50100	 0.65000	 1.79104	100.10880	50.00000	20.00000	0.15234
  20.50100	 0.66000	 1.79904	100.11412	50.00000	20.00000	0.15234
  20.50100	 0.67000	 1.80940	100.11767	50.00000	20.00000	0.15234
  20.50000	 0.68000	 1.79371	100.12181	50.00000	20.00000	0.15234
  20.50000	 0.69000	 1.80052	100.12713	50.00000	20.00000	0.15234
  20.50000	 0.70000	 1.79578	100.13127	50.00000	20.00000	0.15234
  20.50000	 0.71000	 1.79401	100.13600	50.00000	20.00000	0.15234
  20.50100	 0.72000	 1.81236	100.14487	50.00000	20.00000	0.15234
  20.50000	 0.73000	 1.80052	100.15137	50.00000	20.00000	0.15234
  20.50000	 0.74000	 1.80733	100.15137	50.00000	20.00000	0.15234
  20.50000	 0.75000	 1.80674	100.15374	50.00000	20.00000	0.15234
  20.50000	 0.76000	 1.79934	100.16142	50.00000	20.00000	0.15234
  20.89800	 0.77000	 1.79862	100.16852	50.00000	20.00000	0.15245
  20.89800	 0.78000	 1.81283	100.17798	50.00000	20.00000	0.15245
  20.50000	 0.79000	 1.81177	100.18094	50.00000	20.00000	0.15234
  20.89800	 0.80000	 1.80158	100.18271	50.00000	20.00000	0.15245
  20.89800	 0.81000	 1.80454	100.18921	50.00000	20.00000	0.15245
  20.89800	 0.82000	 1.81490	100.19454	50.00000	20.00000	0.15245
  20.89800	 0.83000	 1.81727	100.19868	50.00000	20.00000	0.15245
  20.50000	 0.84000	 1.81207	100.20754	50.00000	20.00000	0.15234
  20.89800	 0.85000	 1.81017	100.21523	50.00000	20.00000	0.15245
  20.89800	 0.86000	 1.81668	100.22114	50.00000	20.00000	0.15245
  20.89700	 0.87000	 1.81727	100.22706	50.00000	20.00000	0.15245
  20.89700	 0.88000	 1.81727	100.23415	50.00000	20.00000	0.15245
  20.89700	 0.89000	 1.81727	100.24302	50.00000	20.00000	0.15245
  20.89800	 0.90000	 1.81727	100.24657	50.00000	20.00000	0.15245
  20.89800	 0.91000	 1.81727	100.25426	50.00000	20.00000	0.15245
  20.89700	 0.92000	 1.81727	100.26076	50.00000	20.00000	0.15245
  20.89700	 0.93000	 1.81727	100.26904	50.00000	20.00000	0.15245
  20.89700	 0.94000	 1.81727	100.27909	50.00000	20.00000	0.15245
  20.89700	 0.95000	 1.81727	100.28441	50.00000	20.00000	0.15245
  20.89700	 0.96000	 1.81727	100.29033	50.00000	20.00000	0.15245
  20.89700	 0.97000	 1.81727	100.29860	50.00000	20.00000	0.15245
  20.89700	 0.98000	 1.81727	100.30866	50.00000	20.00000	0.15245
  20.89700	 0.99000	 1.81727	100.31398	50.00000	20.00000	0.15245
  20.89700	 1.00000	 1.81727	100.31989	50.00000	20.00000	0.15245
  20.89700	 1.01000	 1.81727	100.32876	50.00000	20.00000	0.15245
  20.89700	 1.02000	 1.81727	100.33881	50.00000	20.00000	0.15245
  20.89600	 1.03000	 1.81727	100.34532	50.00000	20.00000	0.15245
  20.89600	 1.04000	 1.81727	100.35182	50.00000	20.00000	0.15245
  20.89600	 1.05000	 1.81727	100.36838	50.00000	20.00000	0.15245
  20.89600	 1.06000	 1.81727	100.37074	50.00000	20.00000	0.15245
  20.89600	 1.07000	 1.81727	100.38079	50.00000	20.00000	0.15245
  20.89600	 1.08000	 1.81727	100.39262	50.00000	20.00000	0.15245
  20.89600	 1.09000	 1.81727	100.39972	50.00000	20.00000	0.15245
  20.89600	 1.10000	 1.81727	100.40622	50.00000	20.00000	0.15245
  20.89600	 1.11000	 1.81727	100.42337	50.00000	20.00000	0.15245
  20.89600	 1.12000	 1.81727	100.42987	50.00000	20.00000	0.15245
  20.89600	 1.13000	 1.81727	100.44111	50.00000	20.00000	0.15245
  20.89600	 1.14000	 1.81727	100.45707	50.00000	20.00000	0.15245
  20.89600	 1.15000	 1.81727	100.46239	50.00000	20.00000	0.15245
  20.89600	 1.16000	 1.81727	100.47658	50.00000	20.00000	0.15245
  20.89600	 1.17000	 1.82734	100.48841	50.00000	20.00000	0.15245
  20.89600	 1.18000	 1.82467	100.50024	50.00000	20.00000	0.15245
  20.89600	 1.19000	 1.83177	100.51206	50.00000	20.00000	0.15245
  20.89600	 1.20000	 1.83029	100.52389	50.00000	20.00000	0.15245
  21.29300	 1.21000	 1.82365	100.53571	50.00000	20.00000	0.15256
  20.89600	 1.22000	 1.83947	100.54399	50.00000	20.00000	0.15245
  21.29300	 1.23000	 1.82661	100.55345	50.00000	20.00000	0.15256
  21.29300	 1.24000	 1.84405	100.56528	50.00000	20.00000	0.15256
  21.29300	 1.25000	 1.84110	100.57711	50.00000	20.00000	0.15256
  21.29300	 1.26000	 1.84198	100.58597	50.00000	20.00000	0.15256
  21.29300	 1.27000	 1.84405	100.60017	50.00000	20.00000	0.15256
  21.29300	 1.28000	 1.84553	100.60963	50.00000	20.00000	0.15256
  21.29300	 1.29000	 1.84553	100.62204	50.00000	20.00000	0.15256
  21.29300	 1.30000	 1.84553	100.63387	50.00000	20.00000	0.15256
  21.29300	 1.31000	 1.84553	100.65102	50.00000	20.00000	0.15256
  21.29300	 1.32000	 1.84553	100.66284	50.00000	20.00000	0.15256
  21.29300	 1.33000	 1.84553	100.67940	50.00000	20.00000	0.15256
  21.29300	 1.34000	 1.84553	100.69241	50.00000	20.00000	0.15256
  21.29300	 1.35000	 1.84553	100.70423	50.00000	20.00000	0.15256
  21.29300	 1.36000	 1.84553	100.71842	50.00000	20.00000	0.15256
  21.29300	 1.37000	 1.84553	100.72611	50.00000	20.00000	0.15256
  21.29300	 1.38000	 1.84553	100.74208	50.00000	20.00000	0.15256
  21.29300	 1.39000	 1.84553	100.74858	50.00000	20.00000	0.15256
  21.29200	 1.40000	 1.84554	100.76336	50.00000	20.00000	0.15256
  21.29200	 1.41000	 1.84997	100.77223	50.00000	20.00000	0.15256
  21.29200	 1.42000	 1.84613	100.78228	50.00000	20.00000	0.15256
  21.29200	 1.43000	 1.84554	100.79884	50.00000	20.00000	0.15256
  21.29200	 1.44000	 1.85234	100.80357	50.00000	20.00000	0.15256
  21.29200	 1.45000	 1.84761	100.81658	50.00000	20.00000	0.15256
  21.68900	 1.46000	 1.86075	100.83018	50.00000	20.00000	0.15267
  21.68900	 1.47000	 1.86696	100.83905	50.00000	20.00000	0.15267
  21.68900	 1.48000	 1.86046	100.85206	50.00000	20.00000	0.15267
  21.68900	 1.49000	 1.86548	100.86980	50.00000	20.00000	0.15267
  21.68900	 1.50000	 1.87316	100.87453	50.00000	20.00000	0.15267
  21.68900	 1.51000	 1.86903	100.89227	50.00000	20.00000	0.15267
  21.68800	 1.52000	 1.87139	100.90527	50.00000	20.00000	0.15267
  21.68800	 1.53000	 1.87376	100.91710	50.00000	20.00000	0.15267
  21.68800	 1.54000	 1.87376	100.93070	50.00000	20.00000	0.15267
  21.68800	 1.55000	 1.87376	100.94667	50.00000	20.00000	0.15267
  21.68800	 1.56000	 1.87376	100.95140	50.00000	20.00000	0.15267
  21.68800	 1.57000	 1.87376	100.96973	50.00000	20.00000	0.15267
  21.68800	 1.58000	 1.87376	100.97505	50.00000	20.00000	0.15267
  21.68800	 1.59000	 1.87376	100.99279	50.00000	20.00000	0.15267
  21.68800	 1.60000	 1.87376	101.00579	50.00000	20.00000	0.15267
  21.68800	 1.61000	 1.87819	101.01585	50.00000	20.00000	0.15267
  21.68800	 1.62000	 1.87848	101.03063	50.00000	20.00000	0.15267
  22.08400	 1.63000	 1.87300	101.04127	50.00000	20.00000	0.15278
  22.08400	 1.64000	 1.87684	101.05487	50.00000	20.00000	0.15278
  22.08400	 1.65000	 1.89367	101.07084	50.00000	20.00000	0.15278
  22.08400	 1.66000	 1.88865	101.07557	50.00000	20.00000	0.15278
  22.08400	 1.67000	 1.89456	101.09449	50.00000	20.00000	0.15278
  22.08300	 1.68000	 1.90135	101.10809	50.00000	20.00000	0.15277
  22.08300	 1.69000	 1.89544	101.12287	50.00000	20.00000	0.15277
  22.08400	 1.70000	 1.90135	101.13588	50.00000	20.00000	0.15278
  22.08400	 1.71000	 1.90194	101.15244	50.00000	20.00000	0.15278
  22.08400	 1.72000	 1.90194	101.16544	50.00000	20.00000	0.15278
  22.08300	 1.73000	 1.90194	101.18318	50.00000	20.00000	0.15277
  22.08300	 1.74000	 1.90194	101.19678	50.00000	20.00000	0.15277
  22.08300	 1.75000	 1.90194	101.21275	50.00000	20.00000	0.15277
  22.08300	 1.76000	 1.90194	101.23049	50.00000	20.00000	0.15277
  22.08300	 1.77000	 1.90194	101.24231	50.00000	20.00000	0.15277
  22.47800	 1.78000	 1.90058	101.26005	50.00000	20.00000	0.15288
  22.47800	 1.79000	 1.90058	101.27188	50.00000	20.00000	0.15288
  22.47900	 1.80000	 1.91297	101.28962	50.00000	20.00000	0.15288
  22.47900	 1.81000	 1.91769	101.30617	50.00000	20.00000	0.15288
  22.47800	 1.82000	 1.92123	101.31918	50.00000	20.00000	0.15288
  22.47800	 1.83000	 1.92743	101.33456	50.00000	20.00000	0.15288
  22.47800	 1.84000	 1.92861	101.35584	50.00000	20.00000	0.15288
  22.47800	 1.85000	 1.93009	101.37122	50.00000	20.00000	0.15288
  22.47800	 1.86000	 1.93009	101.38422	50.00000	20.00000	0.15288
  22.47800	 1.87000	 1.93009	101.40551	50.00000	20.00000	0.15288
  22.47800	 1.88000	 1.93009	101.42266	50.00000	20.00000	0.15288
  22.87300	 1.89000	 1.92870	101.43626	50.00000	20.00000	0.15299
  22.87300	 1.90000	 1.92870	101.45222	50.00000	20.00000	0.15299
  22.87300	 1.91000	 1.92870	101.46996	50.00000	20.00000	0.15299
  22.87300	 1.92000	 1.92870	101.48770	50.00000	20.00000	0.15299
  22.87300	 1.93000	 1.93549	101.50544	50.00000	20.00000	0.15299
  22.87300	 1.94000	 1.93608	101.52200	50.00000	20.00000	0.15299
  22.87200	 1.95000	 1.94846	101.54033	50.00000	20.00000	0.15299
  22.87200	 1.96000	 1.95731	101.55925	50.00000	20.00000	0.15299
  22.87200	 1.97000	 1.95819	101.57817	50.00000	20.00000	0.15299
  22.87300	 1.98000	 1.95819	101.59473	50.00000	20.00000	0.15299
  23.26700	 1.99000	 1.95679	101.61365	50.00000	20.00000	0.15310
  23.26600	 2.00000	 1.95680	101.63020	50.00000	20.00000	0.15310
  23.26600	 2.01000	 1.95680	101.64912	50.00000	20.00000	0.15310
  23.26600	 2.02000	 1.95680	101.66568	50.00000	20.00000	0.15310
