#EXPORTTYPE:                 	DATA ALL                                                                                                               
#FILE:                       	20260220_Al_WO3_60_40_loose_Ar_5Kmin.ngb-ss5                                                                           
#FORMAT:                     	NETZSCH5                                                                                                               
#FTYPE:                      	ASCII                                                                                                                  
#IDENTITY:                   	Al_WO3_loose_60_40_5K                                                                                                  
#DECIMAL:                    	POINT                                                                                                                  
#SEPARATOR:                  	TAB                                                                                                                    
#MTYPE:                      	DTA                                                                                                                    
#INSTRUMENT:                 	NETZSCH STA 449F5                                                                                                      
#PROJECT:                    	THREAD                                                                                                                 
#DATE/TIME:                  	27/02/2026 17:24:57 (UTC+1)                                                                                            
#CORR. FILE:                 	                                                                                                                       
#TEMPCAL:                    	20260212_DTATG_CAL_AR_5KMIN_quadratic_T.ngb-ts5                                                                        
#SENSITIVITY:                	20260212_5Kmin_DTATG_Ar_sens.ngb-es5                                                                                   
#LABORATORY:                 	Politecnico Milano                                                                                                     
#OPERATOR:                   	ZANARDI                                                                                                                
#REMARK:                     	Al_WO3_60_40 ratio loose  heating program: 5 K/min Ar 0 50 20  T_start=25 ›C T_end = 1400›C  m_sample_mettler = 0.01541
#SAMPLE:                     	Al_WO3_loose_60_40_5K                                                                                                  
#SAMPLE MASS /mg:            	15.4370                                                                                                                
#MATERIAL:                   	Al_WO3_thermite                                                                                                        
#REFERENCE:                  	-                                                                                                                      
#REFERENCE MASS /mg:         	0                                                                                                                      
#TYPE OF CRUCIBLE:           	DTA/TG crucible Al2O3                                                                                                  
#SAMPLE CRUCIBLE MASS /mg:   	0                                                                                                                      
#REFERENCE CRUCIBLE MASS /mg:	0                                                                                                                      
#TG RANGE /mg:               	35000                                                                                                                  
#TAU-R:                      	---                                                                                                                    
#CORR. CODE:                 	000                                                                                                                    
#EXO:                        	+1                                                                                                                     
#RANGE:                      	25›C/5,0(K/min)/1400›C                                                                                                 
#SEGMENT:                    	S1/1                                                                                                                   
#SEG. 1:                     	25›C/5,0(K/min)/1400›C                                                                                                 

##Temp./›C	Time/min	DTA/(mW/mg)	Mass/%	Gas Flow(purge2)/(ml/min)	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)
  20.49000	  0.00000	0.96762	100.00000	50.00000	20.00000	0.30856
  20.49000	  0.01000	0.96762	100.00194	50.00000	20.00000	0.30856
  20.49000	  0.02000	0.96762	100.00194	50.00000	20.00000	0.30856
  20.48900	  0.03000	0.96762	100.00259	50.00000	20.00000	0.30856
  20.48900	  0.04000	0.96762	100.00324	50.00000	20.00000	0.30856
  20.49000	  0.05000	0.96762	100.00453	50.00000	20.00000	0.30856
  20.08900	  0.06000	0.96758	100.00518	50.00000	20.00000	0.30857
  20.49000	  0.07000	0.96762	100.00583	50.00000	20.00000	0.30856
  20.49000	  0.08000	0.96762	100.00648	50.00000	20.00000	0.30856
  20.49000	  0.09000	0.96762	100.00713	50.00000	20.00000	0.30856
  20.48900	  0.10000	0.96762	100.00777	50.00000	20.00000	0.30856
  20.48900	  0.11000	0.96762	100.00842	50.00000	20.00000	0.30856
  20.48900	  0.12000	0.96762	100.00907	50.00000	20.00000	0.30856
  20.48900	  0.13000	0.96762	100.00972	50.00000	20.00000	0.30856
  20.48900	  0.14000	0.96762	100.01036	50.00000	20.00000	0.30856
  20.48900	  0.15000	0.96762	100.01101	50.00000	20.00000	0.30856
  20.48900	  0.16000	0.96762	100.01101	50.00000	20.00000	0.30856
  20.08800	  0.17000	0.96758	100.01101	50.00000	20.00000	0.30857
  20.48900	  0.18000	0.96762	100.01166	50.00000	20.00000	0.30856
  20.48900	  0.19000	0.96762	100.01166	50.00000	20.00000	0.30856
  20.08800	  0.20000	0.96758	100.01166	50.00000	20.00000	0.30857
  20.48900	  0.21000	0.96762	100.01166	50.00000	20.00000	0.30856
  20.48900	  0.22000	0.96762	100.01231	50.00000	20.00000	0.30856
  20.48800	  0.23000	0.96762	100.01231	50.00000	20.00000	0.30856
  20.48800	  0.24000	0.96762	100.01296	50.00000	20.00000	0.30856
  20.08800	  0.25000	0.96758	100.01360	50.00000	20.00000	0.30857
  20.08800	  0.26000	0.96758	100.01360	50.00000	20.00000	0.30857
  20.48800	  0.27000	0.96762	100.01425	50.00000	20.00000	0.30856
  20.48800	  0.28000	0.96762	100.01555	50.00000	20.00000	0.30856
  20.48800	  0.29000	0.96762	100.01684	50.00000	20.00000	0.30856
  20.08800	  0.30000	0.96758	100.01749	50.00000	20.00000	0.30857
  20.48800	  0.31000	0.96762	100.01879	50.00000	20.00000	0.30856
  20.48800	  0.32000	0.96762	100.01943	50.00000	20.00000	0.30856
  20.48800	  0.33000	0.96762	100.02073	50.00000	20.00000	0.30856
  20.48800	  0.34000	0.96762	100.02203	50.00000	20.00000	0.30856
  20.48800	  0.35000	0.96762	100.02332	50.00000	20.00000	0.30856
  20.08700	  0.36000	0.96758	100.02462	50.00000	20.00000	0.30857
  20.48800	  0.37000	0.96762	100.02591	50.00000	20.00000	0.30856
  20.48800	  0.38000	0.96762	100.02721	50.00000	20.00000	0.30856
  20.48800	  0.39000	0.96762	100.02850	50.00000	20.00000	0.30856
  20.48800	  0.40000	0.96762	100.02980	50.00000	20.00000	0.30856
  20.48800	  0.41000	0.96842	100.03174	50.00000	20.00000	0.30856
  20.48800	  0.42000	0.96778	100.03304	50.00000	20.00000	0.30856
  20.48700	  0.43000	0.96761	100.03433	50.00000	20.00000	0.30856
  20.48700	  0.44000	0.96761	100.03498	50.00000	20.00000	0.30856
  20.48700	  0.45000	0.96761	100.03628	50.00000	20.00000	0.30856
