#EXPORTTYPE:                 	DATA ALL                                                                                                                                           
#FILE:                       	20260211_Mg_SiO2_stoich_60wt_high_speed_Ar_20Kmin.ngb-ss5                                                                                          
#FORMAT:                     	NETZSCH5                                                                                                                                           
#FTYPE:                      	ASCII                                                                                                                                              
#IDENTITY:                   	Mg_SiO2_stoich_60_HS                                                                                                                               
#DECIMAL:                    	POINT                                                                                                                                              
#SEPARATOR:                  	TAB                                                                                                                                                
#MTYPE:                      	DTA                                                                                                                                                
#INSTRUMENT:                 	NETZSCH STA 449F5                                                                                                                                  
#PROJECT:                    	THREAD                                                                                                                                             
#DATE/TIME:                  	11/02/2026 13:49:45 (UTC+1)                                                                                                                        
#CORR. FILE:                 	                                                                                                                                                   
#TEMPCAL:                    	20260211_DTATG_CAL_AR_20KMIN_quadratic_T.ngb-ts5                                                                                                   
#SENSITIVITY:                	20250211_20Kmin_DTATG_Ar_sens.ngb-es5                                                                                                              
#LABORATORY:                 	Politecnico Milano                                                                                                                                 
#OPERATOR:                   	Zanardi                                                                                                                                            
#REMARK:                     	Mg + SiO2 stoichiometric, 60% wt in high speed resin  heating program: 20 K/min Ar 0 50 20  T_start=25 ›C T_end = 850›C  m_sample_mettler = 0.01324
#SAMPLE:                     	Mg_SiO2_stoich_60_HS                                                                                                                               
#SAMPLE MASS /mg:            	13.1765                                                                                                                                            
#MATERIAL:                   	Mg_Sio2_thermite                                                                                                                                   
#REFERENCE:                  	-                                                                                                                                                  
#REFERENCE MASS /mg:         	0                                                                                                                                                  
#TYPE OF CRUCIBLE:           	DTA/TG crucible Al2O3                                                                                                                              
#SAMPLE CRUCIBLE MASS /mg:   	0                                                                                                                                                  
#REFERENCE CRUCIBLE MASS /mg:	0                                                                                                                                                  
#TG RANGE /mg:               	35000                                                                                                                                              
#TAU-R:                      	---                                                                                                                                                
#CORR. CODE:                 	000                                                                                                                                                
#EXO:                        	+1                                                                                                                                                 
#RANGE:                      	25›C/20,0(K/min)/850›C                                                                                                                             
#SEGMENT:                    	S1/1                                                                                                                                               
#SEG. 1:                     	25›C/20,0(K/min)/850›C                                                                                                                             

##Temp./›C	Time/min	DTA/(mW/mg)	Mass/%	Gas Flow(purge2)/(ml/min)	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)
 18.48700	 0.00000	       2.30461	100.00000	50.00000	20.00000	0.15178
 18.88900	 0.01000	       2.30291	100.00000	50.00000	20.00000	0.15189
 18.88900	 0.02000	       2.30291	100.00000	50.00000	20.00000	0.15189
 18.88900	 0.03000	       2.30291	100.00000	50.00000	20.00000	0.15189
 18.88900	 0.04000	       2.30291	100.00000	50.00000	20.00000	0.15189
 18.88900	 0.05000	       2.30291	100.00000	50.00000	20.00000	0.15189
 18.88900	 0.06000	       2.30291	100.00000	50.00000	20.00000	0.15189
 18.88900	 0.07000	       2.30291	100.00000	50.00000	20.00000	0.15189
 18.88900	 0.08000	       2.30291	100.00000	50.00000	20.00000	0.15189
 18.48700	 0.09000	       2.30461	100.00076	50.00000	20.00000	0.15178
 18.88900	 0.10000	       2.30291	100.00076	50.00000	20.00000	0.15189
 18.48700	 0.11000	       2.30461	100.00076	50.00000	20.00000	0.15178
 18.88900	 0.12000	       2.30291	100.00152	50.00000	20.00000	0.15189
 18.88800	 0.13000	       2.30292	100.00152	50.00000	20.00000	0.15189
 18.88800	 0.14000	       2.30292	100.00152	50.00000	20.00000	0.15189
 18.88900	 0.15000	       2.30291	100.00228	50.00000	20.00000	0.15189
 18.88900	 0.16000	       2.30291	100.00228	50.00000	20.00000	0.15189
 18.48700	 0.17000	       2.30461	100.00304	50.00000	20.00000	0.15178
 18.88800	 0.18000	       2.30292	100.00304	50.00000	20.00000	0.15189
 18.88800	 0.19000	       2.30292	100.00304	50.00000	20.00000	0.15189
 18.88800	 0.20000	       2.30292	100.00379	50.00000	20.00000	0.15189
 18.88800	 0.21000	       2.30292	100.00379	50.00000	20.00000	0.15189
 18.88800	 0.22000	       2.30292	100.00379	50.00000	20.00000	0.15189
 18.88800	 0.23000	       2.30292	100.00455	50.00000	20.00000	0.15189
 18.88800	 0.24000	       2.30292	100.00455	50.00000	20.00000	0.15189
 18.88800	 0.25000	       2.30292	100.00531	50.00000	20.00000	0.15189
 18.88800	 0.26000	       2.30292	100.00683	50.00000	20.00000	0.15189
 18.88800	 0.27000	       2.30292	100.00835	50.00000	20.00000	0.15189
 18.88700	 0.28000	       2.30292	100.00987	50.00000	20.00000	0.15189
 18.88700	 0.29000	       2.30292	100.01062	50.00000	20.00000	0.15189
 18.88700	 0.30000	       2.30292	100.01214	50.00000	20.00000	0.15189
 18.88700	 0.31000	       2.30292	100.01290	50.00000	20.00000	0.15189
