#EXPORTTYPE:                 	DATA ALL                                                                                                                                          
#FILE:                       	20260213_Mg_SiO2_stoich_60wt_high_speed_Ar_5Kmin.ngb-ss5                                                                                          
#FORMAT:                     	NETZSCH5                                                                                                                                          
#FTYPE:                      	ASCII                                                                                                                                             
#IDENTITY:                   	Mg-SiO2                                                                                                                                           
#DECIMAL:                    	POINT                                                                                                                                             
#SEPARATOR:                  	TAB                                                                                                                                               
#MTYPE:                      	DTA                                                                                                                                               
#INSTRUMENT:                 	NETZSCH STA 449F5                                                                                                                                 
#PROJECT:                    	THREAD                                                                                                                                            
#DATE/TIME:                  	13/02/2026 12:47:08 (UTC+1)                                                                                                                       
#CORR. FILE:                 	                                                                                                                                                  
#TEMPCAL:                    	20260212_DTATG_CAL_AR_5KMIN_quadratic_T.ngb-ts5                                                                                                   
#SENSITIVITY:                	20250212_5Kmin_DTATG_Ar_sens.ngb-es5                                                                                                              
#LABORATORY:                 	Politecnico Milano                                                                                                                                
#OPERATOR:                   	Zanardi                                                                                                                                           
#REMARK:                     	Mg + SiO2 stoichiometric, 60% wt in high speed resin  heating program: 5 K/min Ar 0 50 20  T_start=25 ›C T_end = 850›C  m_sample_mettler = 0.01361
#SAMPLE:                     	Mg_SiO2_st_60_40_dlp                                                                                                                              
#SAMPLE MASS /mg:            	13.5195                                                                                                                                           
#MATERIAL:                   	Mg_Sio2_thermite                                                                                                                                  
#REFERENCE:                  	-                                                                                                                                                 
#REFERENCE MASS /mg:         	0                                                                                                                                                 
#TYPE OF CRUCIBLE:           	DTA/TG crucible Al2O3                                                                                                                             
#SAMPLE CRUCIBLE MASS /mg:   	0                                                                                                                                                 
#REFERENCE CRUCIBLE MASS /mg:	0                                                                                                                                                 
#TG RANGE /mg:               	35000                                                                                                                                             
#TAU-R:                      	---                                                                                                                                               
#CORR. CODE:                 	000                                                                                                                                               
#EXO:                        	+1                                                                                                                                                
#RANGE:                      	25›C/5,0(K/min)/850›C                                                                                                                             
#SEGMENT:                    	S1/1                                                                                                                                              
#SEG. 1:                     	25›C/5,0(K/min)/850›C                                                                                                                             

##Temp./›C	Time/min	DTA/(mW/mg)	Mass/%	Gas Flow(purge2)/(ml/min)	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)
 24.27200	  0.00000	       1.06866	100.00000	50.00000	20.00000	0.30845
 24.27200	  0.01000	       1.06866	100.00370	50.00000	20.00000	0.30845
 24.27200	  0.02000	       1.06866	100.00518	50.00000	20.00000	0.30845
 24.27200	  0.03000	       1.06866	100.00666	50.00000	20.00000	0.30845
 24.27200	  0.04000	       1.06866	100.00814	50.00000	20.00000	0.30845
 24.27200	  0.05000	       1.06866	100.01036	50.00000	20.00000	0.30845
 24.27200	  0.06000	       1.06866	100.01257	50.00000	20.00000	0.30845
 24.27200	  0.07000	       1.06866	100.01405	50.00000	20.00000	0.30845
 24.27200	  0.08000	       1.06866	100.01627	50.00000	20.00000	0.30845
 24.27200	  0.09000	       1.06866	100.01775	50.00000	20.00000	0.30845
 24.27200	  0.10000	       1.06866	100.01849	50.00000	20.00000	0.30845
 24.27100	  0.11000	       1.06866	100.01923	50.00000	20.00000	0.30845
 24.27100	  0.12000	       1.06866	100.01997	50.00000	20.00000	0.30845
 24.27100	  0.13000	       1.06866	100.01997	50.00000	20.00000	0.30845
 24.27100	  0.14000	       1.06866	100.02071	50.00000	20.00000	0.30845
 24.27100	  0.15000	       1.06866	100.02071	50.00000	20.00000	0.30845
 24.27100	  0.16000	       1.06866	100.02071	50.00000	20.00000	0.30845
 24.27100	  0.17000	       1.06866	100.02071	50.00000	20.00000	0.30845
 24.27100	  0.18000	       1.06866	100.02071	50.00000	20.00000	0.30845
 24.27100	  0.19000	       1.06866	100.02071	50.00000	20.00000	0.30845
 24.27100	  0.20000	       1.06866	100.02071	50.00000	20.00000	0.30845
 24.27100	  0.21000	       1.06866	100.02071	50.00000	20.00000	0.30845
 24.27100	  0.22000	       1.06866	100.02145	50.00000	20.00000	0.30845
 24.27100	  0.23000	       1.06866	100.02145	50.00000	20.00000	0.30845
 24.27000	  0.24000	       1.06866	100.02219	50.00000	20.00000	0.30845
 24.27000	  0.25000	       1.06866	100.02367	50.00000	20.00000	0.30845
 24.27000	  0.26000	       1.06866	100.02515	50.00000	20.00000	0.30845
 24.27000	  0.27000	       1.06866	100.02663	50.00000	20.00000	0.30845
 24.27100	  0.28000	       1.06866	100.02885	50.00000	20.00000	0.30845
 24.27000	  0.29000	       1.06866	100.03033	50.00000	20.00000	0.30845
