#EXPORTTYPE:                 	DATA ALL                                                                                                                                     
#FILE:                       	20260225_Al_WO3_30_70_act_Ar_20Kmin.ngb-ss5                                                                                                  
#FORMAT:                     	NETZSCH5                                                                                                                                     
#FTYPE:                      	ASCII                                                                                                                                        
#IDENTITY:                   	Al WO3 ACT 30 70                                                                                                                             
#DECIMAL:                    	POINT                                                                                                                                        
#SEPARATOR:                  	TAB                                                                                                                                          
#MTYPE:                      	DTA                                                                                                                                          
#INSTRUMENT:                 	NETZSCH STA 449F5                                                                                                                            
#PROJECT:                    	THREAD                                                                                                                                       
#DATE/TIME:                  	26/02/2026 10:19:58 (UTC+1)                                                                                                                  
#CORR. FILE:                 	                                                                                                                                             
#TEMPCAL:                    	20260211_DTATG_CAL_AR_20KMIN_quadratic_T.ngb-ts5                                                                                             
#SENSITIVITY:                	20260211_20Kmin_DTATG_Ar_sens.ngb-es5                                                                                                        
#LABORATORY:                 	Politecnico Milano                                                                                                                           
#OPERATOR:                   	Paravan                                                                                                                                      
#REMARK:                     	Al_WO3_40_60 activated thermite by REACTIVE   heating program: 20 K/min Ar 0 50 20  T_start=25 ›C T_end = 1400›C  m_sample_mettler = 0.01564g
#SAMPLE:                     	Al WO3 ACT 30 70                                                                                                                             
#SAMPLE MASS /mg:            	15.6505                                                                                                                                      
#MATERIAL:                   	Al_WO3_thermite                                                                                                                              
#REFERENCE:                  	-                                                                                                                                            
#REFERENCE MASS /mg:         	0                                                                                                                                            
#TYPE OF CRUCIBLE:           	DTA/TG crucible Al2O3                                                                                                                        
#SAMPLE CRUCIBLE MASS /mg:   	0                                                                                                                                            
#REFERENCE CRUCIBLE MASS /mg:	0                                                                                                                                            
#TG RANGE /mg:               	35000                                                                                                                                        
#TAU-R:                      	---                                                                                                                                          
#CORR. CODE:                 	000                                                                                                                                          
#EXO:                        	+1                                                                                                                                           
#RANGE:                      	25›C/20,0(K/min)/1400›C                                                                                                                      
#SEGMENT:                    	S1/1                                                                                                                                         
#SEG. 1:                     	25›C/20,0(K/min)/1400›C                                                                                                                      

##Temp./›C	Time/min	DTA/(mW/mg)	Mass/%	Gas Flow(purge2)/(ml/min)	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)
  18.23900	 0.00000	 1.97332	100.00000	50.00000	20.00000	0.15171
  18.23900	 0.01000	 1.97332	100.01022	50.00000	20.00000	0.15171
  18.23900	 0.02000	 1.97332	100.01533	50.00000	20.00000	0.15171
  18.23900	 0.03000	 1.97332	100.02492	50.00000	20.00000	0.15171
  18.23900	 0.04000	 1.97332	100.03195	50.00000	20.00000	0.15171
  18.23900	 0.05000	 1.97332	100.03386	50.00000	20.00000	0.15171
  18.23900	 0.06000	 1.97332	100.03770	50.00000	20.00000	0.15171
  18.23900	 0.07000	 1.97332	100.04153	50.00000	20.00000	0.15171
  18.23900	 0.08000	 1.97332	100.04984	50.00000	20.00000	0.15171
  18.23900	 0.09000	 1.97332	100.05367	50.00000	20.00000	0.15171
  18.23900	 0.10000	 1.97332	100.05751	50.00000	20.00000	0.15171
  18.23900	 0.11000	 1.97332	100.06134	50.00000	20.00000	0.15171
  18.23900	 0.12000	 1.97332	100.06517	50.00000	20.00000	0.15171
  18.23900	 0.13000	 1.97332	100.07412	50.00000	20.00000	0.15171
  18.23900	 0.14000	 1.97332	100.08179	50.00000	20.00000	0.15171
  18.23900	 0.15000	 1.97332	100.08306	50.00000	20.00000	0.15171
  18.23900	 0.16000	 1.97332	100.08690	50.00000	20.00000	0.15171
  18.23900	 0.17000	 1.97332	100.09329	50.00000	20.00000	0.15171
  18.23900	 0.18000	 1.97332	100.09712	50.00000	20.00000	0.15171
  18.23900	 0.19000	 1.97332	100.10096	50.00000	20.00000	0.15171
  18.23900	 0.20000	 1.97332	100.10990	50.00000	20.00000	0.15171
  18.23900	 0.21000	 1.97332	100.11949	50.00000	20.00000	0.15171
  18.23900	 0.22000	 1.97332	100.12140	50.00000	20.00000	0.15171
  18.23800	 0.23000	 1.97332	100.12396	50.00000	20.00000	0.15171
  18.23800	 0.24000	 1.97332	100.12843	50.00000	20.00000	0.15171
  18.23800	 0.25000	 1.97332	100.13354	50.00000	20.00000	0.15171
  18.23800	 0.26000	 1.97332	100.13801	50.00000	20.00000	0.15171
  18.23800	 0.27000	 1.97332	100.15143	50.00000	20.00000	0.15171
  18.23800	 0.28000	 1.97332	100.15910	50.00000	20.00000	0.15171
  18.23800	 0.29000	 1.98425	100.15974	50.00000	20.00000	0.15171
  18.23800	 0.30000	 1.97428	100.16805	50.00000	20.00000	0.15171
  18.23800	 0.31000	 1.97364	100.17571	50.00000	20.00000	0.15171
  18.23800	 0.32000	 1.97332	100.17763	50.00000	20.00000	0.15171
  18.23800	 0.33000	 1.97332	100.18402	50.00000	20.00000	0.15171
  18.23800	 0.34000	 1.97332	100.18849	50.00000	20.00000	0.15171
  18.23800	 0.35000	 1.98039	100.19680	50.00000	20.00000	0.15171
  18.23800	 0.36000	 1.97750	100.20319	50.00000	20.00000	0.15171
  18.23800	 0.37000	 1.99838	100.20766	50.00000	20.00000	0.15171
  18.23800	 0.38000	 1.99806	100.21277	50.00000	20.00000	0.15171
  18.23800	 0.39000	 1.98810	100.22364	50.00000	20.00000	0.15171
  18.23800	 0.40000	 2.00192	100.23002	50.00000	20.00000	0.15171
  18.23800	 0.41000	 1.98650	100.23194	50.00000	20.00000	0.15171
  18.23800	 0.42000	 1.99099	100.24153	50.00000	20.00000	0.15171
  18.23700	 0.43000	 2.00224	100.24792	50.00000	20.00000	0.15171
  18.23700	 0.44000	 1.99903	100.25430	50.00000	20.00000	0.15171
  18.23700	 0.45000	 2.00514	100.26645	50.00000	20.00000	0.15171
  18.23700	 0.46000	 2.00064	100.27475	50.00000	20.00000	0.15171
  18.23700	 0.47000	 2.00192	100.27731	50.00000	20.00000	0.15171
  18.23700	 0.48000	 2.00514	100.28625	50.00000	20.00000	0.15171
  18.23700	 0.49000	 2.00546	100.29648	50.00000	20.00000	0.15171
  18.23700	 0.50000	 2.00546	100.30862	50.00000	20.00000	0.15171
  18.23700	 0.51000	 2.00546	100.31309	50.00000	20.00000	0.15171
  18.23700	 0.52000	 2.00546	100.32140	50.00000	20.00000	0.15171
  18.23700	 0.53000	 2.00546	100.33226	50.00000	20.00000	0.15171
  18.63900	 0.54000	 2.00398	100.34248	50.00000	20.00000	0.15182
  18.23700	 0.55000	 2.00546	100.34823	50.00000	20.00000	0.15171
  18.63900	 0.56000	 2.00398	100.35782	50.00000	20.00000	0.15182
  18.63900	 0.57000	 2.00398	100.36676	50.00000	20.00000	0.15182
  18.63900	 0.58000	 2.00398	100.37890	50.00000	20.00000	0.15182
  18.63900	 0.59000	 2.00398	100.38912	50.00000	20.00000	0.15182
  18.63900	 0.60000	 2.00398	100.40254	50.00000	20.00000	0.15182
  18.63900	 0.61000	 2.00398	100.40893	50.00000	20.00000	0.15182
  18.63900	 0.62000	 2.00398	100.41916	50.00000	20.00000	0.15182
  18.63900	 0.63000	 2.00398	100.43449	50.00000	20.00000	0.15182
  18.63900	 0.64000	 2.00398	100.44727	50.00000	20.00000	0.15182
  18.63900	 0.65000	 2.00398	100.45622	50.00000	20.00000	0.15182
  18.63800	 0.66000	 2.00880	100.46644	50.00000	20.00000	0.15182
  18.63800	 0.67000	 2.00463	100.47922	50.00000	20.00000	0.15182
  18.63800	 0.68000	 2.00398	100.49200	50.00000	20.00000	0.15182
  18.63800	 0.69000	 2.00398	100.50158	50.00000	20.00000	0.15182
  18.63800	 0.70000	 2.00880	100.51692	50.00000	20.00000	0.15182
  18.63800	 0.71000	 2.01651	100.52714	50.00000	20.00000	0.15182
  18.63800	 0.72000	 2.00527	100.53736	50.00000	20.00000	0.15182
  18.63800	 0.73000	 2.02100	100.55270	50.00000	20.00000	0.15182
  18.63800	 0.74000	 2.02421	100.56228	50.00000	20.00000	0.15182
  18.63800	 0.75000	 2.03192	100.57314	50.00000	20.00000	0.15182
  18.63800	 0.76000	 2.03128	100.58209	50.00000	20.00000	0.15182
  18.63800	 0.77000	 2.02774	100.59423	50.00000	20.00000	0.15182
  18.63800	 0.78000	 2.03096	100.60509	50.00000	20.00000	0.15182
  18.63800	 0.79000	 2.03577	100.61404	50.00000	20.00000	0.15182
  18.63800	 0.80000	 2.03609	100.62618	50.00000	20.00000	0.15182
  18.63800	 0.81000	 2.03481	100.63896	50.00000	20.00000	0.15182
  18.63800	 0.82000	 2.03609	100.65174	50.00000	20.00000	0.15182
