#EXPORTTYPE:                 	DATA ALL                                                                                                                                     
#FILE:                       	20260225_Al_WO3_40_60_act_Ar_20Kmin.ngb-ss5                                                                                                  
#FORMAT:                     	NETZSCH5                                                                                                                                     
#FTYPE:                      	ASCII                                                                                                                                        
#IDENTITY:                   	ACT_AlWO3_4060                                                                                                                               
#DECIMAL:                    	COMMA                                                                                                                                        
#SEPARATOR:                  	TAB                                                                                                                                          
#MTYPE:                      	DTA                                                                                                                                          
#INSTRUMENT:                 	NETZSCH STA 449F5                                                                                                                            
#PROJECT:                    	THREAD                                                                                                                                       
#DATE/TIME:                  	25/02/2026 09:49:15 (UTC+1)                                                                                                                  
#CORR. FILE:                 	                                                                                                                                             
#TEMPCAL:                    	20260211_DTATG_CAL_AR_20KMIN_quadratic_T.ngb-ts5                                                                                             
#SENSITIVITY:                	20260211_20Kmin_DTATG_Ar_sens.ngb-es5                                                                                                        
#LABORATORY:                 	Politecnico Milano                                                                                                                           
#OPERATOR:                   	Paravan                                                                                                                                      
#REMARK:                     	Al_WO3_40_60 activated thermite by REACTIVE   heating program: 20 K/min Ar 0 50 20  T_start=25  C T_end = 1400 C  m_sample_mettler = 0.01585g
#SAMPLE:                     	ACT_AlWO3_4060                                                                                                                               
#SAMPLE MASS /mg:            	15.7610                                                                                                                                      
#MATERIAL:                   	Al_WO3_thermite                                                                                                                              
#REFERENCE:                  	-                                                                                                                                            
#REFERENCE MASS /mg:         	0                                                                                                                                            
#TYPE OF CRUCIBLE:           	DTA/TG crucible Al2O3                                                                                                                        
#SAMPLE CRUCIBLE MASS /mg:   	0                                                                                                                                            
#REFERENCE CRUCIBLE MASS /mg:	0                                                                                                                                            
#TG RANGE /mg:               	35000                                                                                                                                        
#TAU-R:                      	---                                                                                                                                          
#CORR. CODE:                 	000                                                                                                                                          
#EXO:                        	+1                                                                                                                                           
#RANGE:                      	25 C/20.0(K/min)/1400 C                                                                                                                      
#SEGMENT:                    	S1/1                                                                                                                                         
#SEG. 1:                     	25 C/20.0(K/min)/1400 C                                                                                                                      

##Temp./ C	Time/min	DTA/(mW/mg)	Mass/%	Gas Flow(purge2)/(ml/min)	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)
  18.12400	 0.00000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12400	 0.01000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12400	 0.02000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12400	 0.03000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12400	 0.04000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12400	 0.05000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12400	 0.06000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12400	 0.07000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12400	 0.08000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12400	 0.09000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12400	 0.10000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12400	 0.11000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12400	 0.12000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12400	 0.13000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12400	 0.14000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12300	 0.15000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12300	 0.16000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12300	 0.17000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12300	 0.18000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12300	 0.19000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12300	 0.20000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12300	 0.21000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12300	 0.22000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12300	 0.23000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12300	 0.24000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12200	 0.25000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.12200	 0.26000	 1.99181	100.00000	50.00000	20.00000	0.15167
  18.52500	 0.27000	 1.99035	100.08121	50.00000	20.00000	0.15179
  18.52500	 0.28000	 1.99035	100.08121	50.00000	20.00000	0.15179
