#EXPORTTYPE:                 	DATA ALL                                                                                                                        
#FILE:                       	20260220_Al_WO3_60_40_loose_Ar_20Kmin.ngb-ss5                                                                                   
#FORMAT:                     	NETZSCH5                                                                                                                        
#FTYPE:                      	ASCII                                                                                                                           
#IDENTITY:                   	Loose Al-WO3 60-40                                                                                                              
#DECIMAL:                    	POINT                                                                                                                           
#SEPARATOR:                  	TAB                                                                                                                             
#MTYPE:                      	DTA                                                                                                                             
#INSTRUMENT:                 	NETZSCH STA 449F5                                                                                                               
#PROJECT:                    	THREAD                                                                                                                          
#DATE/TIME:                  	20/02/2026 12:13:03 (UTC+1)                                                                                                     
#CORR. FILE:                 	                                                                                                                                
#TEMPCAL:                    	20260211_DTATG_CAL_AR_20KMIN_quadratic_T.ngb-ts5                                                                                
#SENSITIVITY:                	20260211_20Kmin_DTATG_Ar_sens.ngb-es5                                                                                           
#LABORATORY:                 	Politecnico Milano                                                                                                              
#OPERATOR:                   	Zanardi                                                                                                                         
#REMARK:                     	Al_WO3_60_40 ratio loose powder  heating program: 20 K/min Ar 0 50 20  T_start=25 ›C T_end = 1400›C  m_sample_mettler = 0.01573g
#SAMPLE:                     	Loose Al-WO3 60-40                                                                                                              
#SAMPLE MASS /mg:            	15.0735                                                                                                                         
#MATERIAL:                   	Al_WO3_thermite                                                                                                                 
#REFERENCE:                  	-                                                                                                                               
#REFERENCE MASS /mg:         	0                                                                                                                               
#TYPE OF CRUCIBLE:           	DTA/TG crucible Al2O3                                                                                                           
#SAMPLE CRUCIBLE MASS /mg:   	0                                                                                                                               
#REFERENCE CRUCIBLE MASS /mg:	0                                                                                                                               
#TG RANGE /mg:               	35000                                                                                                                           
#TAU-R:                      	---                                                                                                                             
#CORR. CODE:                 	000                                                                                                                             
#EXO:                        	+1                                                                                                                              
#RANGE:                      	25›C/20,0(K/min)/1400›C                                                                                                         
#SEGMENT:                    	S1/1                                                                                                                            
#SEG. 1:                     	25›C/20,0(K/min)/1400›C                                                                                                         

##Temp./›C	Time/min	DTA/(mW/mg)	Mass/%	Gas Flow(purge2)/(ml/min)	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)
  18.63200	 0.00000	       2.01404	100.00000	50.00000	20.00000	0.15182
  18.22900	 0.01000	       2.01553	100.00332	50.00000	20.00000	0.15170
  18.22900	 0.02000	       2.01553	100.00464	50.00000	20.00000	0.15170
  18.63100	 0.03000	       2.01404	100.00597	50.00000	20.00000	0.15182
  18.63100	 0.04000	       2.01404	100.00663	50.00000	20.00000	0.15182
  18.63100	 0.05000	       2.01404	100.00730	50.00000	20.00000	0.15182
  18.63100	 0.06000	       2.01404	100.00862	50.00000	20.00000	0.15182
  18.22800	 0.07000	       2.01553	100.00929	50.00000	20.00000	0.15170
  18.63100	 0.08000	       2.01404	100.01194	50.00000	20.00000	0.15182
  18.63100	 0.09000	       2.01404	100.01460	50.00000	20.00000	0.15182
  18.63100	 0.10000	       2.01404	100.01659	50.00000	20.00000	0.15182
  18.63100	 0.11000	       2.01404	100.01924	50.00000	20.00000	0.15182
  18.22800	 0.12000	       2.01553	100.02123	50.00000	20.00000	0.15170
  18.63000	 0.13000	       2.01405	100.02256	50.00000	20.00000	0.15182
  18.63000	 0.14000	       2.01405	100.02322	50.00000	20.00000	0.15182
  18.63100	 0.15000	       2.01404	100.02388	50.00000	20.00000	0.15182
  18.63000	 0.16000	       2.01405	100.02455	50.00000	20.00000	0.15182
  18.63000	 0.17000	       2.01405	100.02455	50.00000	20.00000	0.15182
  18.22800	 0.18000	       2.01553	100.02521	50.00000	20.00000	0.15170
  18.63100	 0.19000	       2.01404	100.02521	50.00000	20.00000	0.15182
  18.63000	 0.20000	       2.01405	100.02521	50.00000	20.00000	0.15182
  18.63000	 0.21000	       2.01405	100.02521	50.00000	20.00000	0.15182
  18.22800	 0.22000	       2.01553	100.02521	50.00000	20.00000	0.15170
  18.63100	 0.23000	       2.01404	100.02587	50.00000	20.00000	0.15182
  18.63100	 0.24000	       2.01404	100.02587	50.00000	20.00000	0.15182
  18.22800	 0.25000	       2.01553	100.02654	50.00000	20.00000	0.15170
  18.63000	 0.26000	       2.01405	100.02654	50.00000	20.00000	0.15182
  18.63000	 0.27000	       2.01405	100.02720	50.00000	20.00000	0.15182
  18.63000	 0.28000	       2.01405	100.02786	50.00000	20.00000	0.15182
  18.63000	 0.29000	       2.01405	100.02786	50.00000	20.00000	0.15182
  18.63000	 0.30000	       2.01405	100.02853	50.00000	20.00000	0.15182
  18.63000	 0.31000	       2.01405	100.02919	50.00000	20.00000	0.15182
  18.63000	 0.32000	       2.01405	100.02919	50.00000	20.00000	0.15182
  18.63000	 0.33000	       2.01405	100.02985	50.00000	20.00000	0.15182
  18.63000	 0.34000	       2.01405	100.03052	50.00000	20.00000	0.15182
  18.62900	 0.35000	       2.01405	100.03118	50.00000	20.00000	0.15182
  18.62900	 0.36000	       2.01405	100.03184	50.00000	20.00000	0.15182
  18.62900	 0.37000	       2.01405	100.03251	50.00000	20.00000	0.15182
  18.22700	 0.38000	       2.01553	100.03450	50.00000	20.00000	0.15170
  18.62900	 0.39000	       2.01405	100.03582	50.00000	20.00000	0.15182
  18.62900	 0.40000	       2.02172	100.03781	50.00000	20.00000	0.15182
  18.62900	 0.41000	       2.01472	100.04047	50.00000	20.00000	0.15182
  18.62900	 0.42000	       2.01405	100.04312	50.00000	20.00000	0.15182
  18.62900	 0.43000	       2.01405	100.04578	50.00000	20.00000	0.15182
  18.62900	 0.44000	       2.01405	100.04777	50.00000	20.00000	0.15182
  18.62900	 0.45000	       2.01405	100.04976	50.00000	20.00000	0.15182
  18.62800	 0.46000	       2.01405	100.05175	50.00000	20.00000	0.15181
  18.62800	 0.47000	       2.02172	100.05440	50.00000	20.00000	0.15181
  18.62900	 0.48000	       2.01472	100.05639	50.00000	20.00000	0.15182
  18.62900	 0.49000	       2.01405	100.05838	50.00000	20.00000	0.15182
  18.62900	 0.50000	       2.01405	100.06236	50.00000	20.00000	0.15182
  18.62800	 0.51000	       2.01405	100.06634	50.00000	20.00000	0.15181
  18.62800	 0.52000	       2.01405	100.07032	50.00000	20.00000	0.15181
  18.62800	 0.53000	       2.01405	100.07364	50.00000	20.00000	0.15181
  18.62800	 0.54000	       2.01405	100.07629	50.00000	20.00000	0.15181
  18.62900	 0.55000	       2.01405	100.07895	50.00000	20.00000	0.15182
  18.62900	 0.56000	       2.01405	100.08160	50.00000	20.00000	0.15182
  18.62900	 0.57000	       2.01405	100.08359	50.00000	20.00000	0.15182
  18.62900	 0.58000	       2.01405	100.08624	50.00000	20.00000	0.15182
  18.62900	 0.59000	       2.01405	100.08956	50.00000	20.00000	0.15182
  18.62900	 0.60000	       2.01405	100.09221	50.00000	20.00000	0.15182
  18.62800	 0.61000	       2.01405	100.09819	50.00000	20.00000	0.15181
  18.62800	 0.62000	       2.01905	100.10283	50.00000	20.00000	0.15181
  18.62900	 0.63000	       2.01472	100.10880	50.00000	20.00000	0.15182
  18.62900	 0.64000	       2.01405	100.11344	50.00000	20.00000	0.15182
  18.62800	 0.65000	       2.01405	100.11742	50.00000	20.00000	0.15181
  18.62800	 0.66000	       2.01405	100.12207	50.00000	20.00000	0.15181
  18.62800	 0.67000	       2.01905	100.12937	50.00000	20.00000	0.15181
  18.62800	 0.68000	       2.01472	100.13534	50.00000	20.00000	0.15181
  18.62800	 0.69000	       2.01405	100.13998	50.00000	20.00000	0.15181
  18.62800	 0.70000	       2.01739	100.14462	50.00000	20.00000	0.15181
  18.62800	 0.71000	       2.02539	100.14927	50.00000	20.00000	0.15181
  18.62800	 0.72000	       2.02005	100.15590	50.00000	20.00000	0.15181
  18.62800	 0.73000	       2.02572	100.16386	50.00000	20.00000	0.15181
  18.62800	 0.74000	       2.02972	100.16983	50.00000	20.00000	0.15181
  18.62800	 0.75000	       2.03839	100.17448	50.00000	20.00000	0.15181
  18.62800	 0.76000	       2.02706	100.18443	50.00000	20.00000	0.15181
  18.62800	 0.77000	       2.03339	100.19372	50.00000	20.00000	0.15181
  18.62800	 0.78000	       2.03506	100.19504	50.00000	20.00000	0.15181
  18.62800	 0.79000	       2.03272	100.20035	50.00000	20.00000	0.15181
  18.62800	 0.80000	       2.03006	100.20765	50.00000	20.00000	0.15181
  18.62800	 0.81000	       2.03272	100.21296	50.00000	20.00000	0.15181
  18.62800	 0.82000	       2.04272	100.21760	50.00000	20.00000	0.15181
  18.62800	 0.83000	       2.02872	100.22423	50.00000	20.00000	0.15181
  18.62800	 0.84000	       2.04573	100.23087	50.00000	20.00000	0.15181
  18.62800	 0.85000	       2.04506	100.23750	50.00000	20.00000	0.15181
  18.62800	 0.86000	       2.04739	100.24745	50.00000	20.00000	0.15181
  18.62800	 0.87000	       2.04606	100.25409	50.00000	20.00000	0.15181
  18.62800	 0.88000	       2.04573	100.25608	50.00000	20.00000	0.15181
  18.62800	 0.89000	       2.04739	100.26603	50.00000	20.00000	0.15181
  18.62700	 0.90000	       2.04740	100.27863	50.00000	20.00000	0.15181
  18.62700	 0.91000	       2.04740	100.28726	50.00000	20.00000	0.15181
  18.62700	 0.92000	       2.04740	100.28991	50.00000	20.00000	0.15181
  18.62700	 0.93000	       2.04740	100.30451	50.00000	20.00000	0.15181
  18.62700	 0.94000	       2.04540	100.31247	50.00000	20.00000	0.15181
  18.62700	 0.95000	       2.04740	100.32507	50.00000	20.00000	0.15181
  18.62700	 0.96000	       2.04740	100.33436	50.00000	20.00000	0.15181
  18.62700	 0.97000	       2.04740	100.34697	50.00000	20.00000	0.15181
  18.62700	 0.98000	       2.04740	100.35294	50.00000	20.00000	0.15181
  18.62700	 0.99000	       2.04740	100.37151	50.00000	20.00000	0.15181
  18.62700	 1.00000	       2.04740	100.37417	50.00000	20.00000	0.15181
  18.62700	 1.01000	       2.04740	100.38279	50.00000	20.00000	0.15181
  18.62700	 1.02000	       2.04740	100.40004	50.00000	20.00000	0.15181
  18.62700	 1.03000	       2.04740	100.40734	50.00000	20.00000	0.15181
  18.62700	 1.04000	       2.04740	100.41663	50.00000	20.00000	0.15181
  18.62700	 1.05000	       2.04740	100.43188	50.00000	20.00000	0.15181
  18.62600	 1.06000	       2.04740	100.44648	50.00000	20.00000	0.15181
  18.62600	 1.07000	       2.04740	100.45577	50.00000	20.00000	0.15181
  19.02800	 1.08000	       2.04589	100.46704	50.00000	20.00000	0.15193
  18.62700	 1.09000	       2.04740	100.48429	50.00000	20.00000	0.15181
  18.62600	 1.10000	       2.04740	100.49026	50.00000	20.00000	0.15181
  19.02700	 1.11000	       2.04590	100.50619	50.00000	20.00000	0.15193
  19.02700	 1.12000	       2.04590	100.51945	50.00000	20.00000	0.15193
  19.02700	 1.13000	       2.04590	100.53670	50.00000	20.00000	0.15193
  19.02700	 1.14000	       2.04590	100.54798	50.00000	20.00000	0.15193
  19.02700	 1.15000	       2.04590	100.56258	50.00000	20.00000	0.15193
  19.02700	 1.16000	       2.04590	100.57452	50.00000	20.00000	0.15193
  19.02700	 1.17000	       2.04590	100.58447	50.00000	20.00000	0.15193
  19.02700	 1.18000	       2.04923	100.60105	50.00000	20.00000	0.15193
  19.02700	 1.19000	       2.04623	100.61101	50.00000	20.00000	0.15193
  19.02700	 1.20000	       2.05256	100.62228	50.00000	20.00000	0.15193
  19.02700	 1.21000	       2.05356	100.63821	50.00000	20.00000	0.15193
  19.02700	 1.22000	       2.04989	100.64418	50.00000	20.00000	0.15193
  19.02700	 1.23000	       2.06089	100.65413	50.00000	20.00000	0.15193
  19.02700	 1.24000	       2.07222	100.66872	50.00000	20.00000	0.15193
  19.02700	 1.25000	       2.07855	100.68465	50.00000	20.00000	0.15193
  19.02700	 1.26000	       2.07022	100.69327	50.00000	20.00000	0.15193
  19.02700	 1.27000	       2.07621	100.71118	50.00000	20.00000	0.15193
  19.02700	 1.28000	       2.07921	100.71848	50.00000	20.00000	0.15193
  19.02700	 1.29000	       2.07921	100.73506	50.00000	20.00000	0.15193
  19.02700	 1.30000	       2.07921	100.74502	50.00000	20.00000	0.15193
  19.02700	 1.31000	       2.07921	100.75629	50.00000	20.00000	0.15193
  19.02700	 1.32000	       2.07921	100.76691	50.00000	20.00000	0.15193
  19.02700	 1.33000	       2.07921	100.77620	50.00000	20.00000	0.15193
  19.02700	 1.34000	       2.07921	100.78946	50.00000	20.00000	0.15193
  19.42700	 1.35000	       2.07769	100.80008	50.00000	20.00000	0.15204
  19.02700	 1.36000	       2.07921	100.81003	50.00000	20.00000	0.15193
  19.42700	 1.37000	       2.07769	100.82794	50.00000	20.00000	0.15204
  19.42700	 1.38000	       2.07769	100.83325	50.00000	20.00000	0.15204
  19.42700	 1.39000	       2.07769	100.84785	50.00000	20.00000	0.15204
  19.42700	 1.40000	       2.07769	100.86310	50.00000	20.00000	0.15204
  19.42700	 1.41000	       2.07769	100.87438	50.00000	20.00000	0.15204
  19.42700	 1.42000	       2.07769	100.88964	50.00000	20.00000	0.15204
  19.42700	 1.43000	       2.07769	100.90092	50.00000	20.00000	0.15204
  19.42700	 1.44000	       2.07769	100.91684	50.00000	20.00000	0.15204
  19.42700	 1.45000	       2.08102	100.92547	50.00000	20.00000	0.15204
  19.42700	 1.46000	       2.07802	100.94271	50.00000	20.00000	0.15204
  19.42700	 1.47000	       2.07769	100.95399	50.00000	20.00000	0.15204
  19.42700	 1.48000	       2.08002	100.96991	50.00000	20.00000	0.15204
  19.42700	 1.49000	       2.08169	100.97721	50.00000	20.00000	0.15204
  19.42700	 1.50000	       2.09667	100.99380	50.00000	20.00000	0.15204
  19.42700	 1.51000	       2.08601	101.01237	50.00000	20.00000	0.15204
  19.42700	 1.52000	       2.09933	101.02232	50.00000	20.00000	0.15204
  19.42700	 1.53000	       2.10266	101.04024	50.00000	20.00000	0.15204
  19.42700	 1.54000	       2.11032	101.05549	50.00000	20.00000	0.15204
  19.42700	 1.55000	       2.10765	101.06677	50.00000	20.00000	0.15204
  19.82700	 1.56000	       2.10911	101.08203	50.00000	20.00000	0.15215
  19.82700	 1.57000	       2.10412	101.09198	50.00000	20.00000	0.15215
  19.82700	 1.58000	       2.10911	101.10658	50.00000	20.00000	0.15215
  19.82700	 1.59000	       2.10944	101.11985	50.00000	20.00000	0.15215
  19.82700	 1.60000	       2.10944	101.13577	50.00000	20.00000	0.15215
  19.82700	 1.61000	       2.10944	101.14837	50.00000	20.00000	0.15215
  19.82700	 1.62000	       2.10944	101.16164	50.00000	20.00000	0.15215
  19.82600	 1.63000	       2.10944	101.17823	50.00000	20.00000	0.15215
  19.82600	 1.64000	       2.10944	101.19282	50.00000	20.00000	0.15215
  19.82600	 1.65000	       2.10944	101.21272	50.00000	20.00000	0.15215
  19.82600	 1.66000	       2.10944	101.22201	50.00000	20.00000	0.15215
  19.82600	 1.67000	       2.10944	101.23926	50.00000	20.00000	0.15215
  19.82600	 1.68000	       2.10944	101.25717	50.00000	20.00000	0.15215
  20.22500	 1.69000	       2.10791	101.27575	50.00000	20.00000	0.15226
  19.82600	 1.70000	       2.10944	101.28902	50.00000	20.00000	0.15215
  19.82600	 1.71000	       2.10944	101.30229	50.00000	20.00000	0.15215
  20.22500	 1.72000	       2.10791	101.32219	50.00000	20.00000	0.15226
  20.22500	 1.73000	       2.10791	101.33877	50.00000	20.00000	0.15226
  20.22500	 1.74000	       2.12386	101.35536	50.00000	20.00000	0.15226
  20.22500	 1.75000	       2.12021	101.37128	50.00000	20.00000	0.15226
  20.22500	 1.76000	       2.13251	101.38853	50.00000	20.00000	0.15226
  20.22500	 1.77000	       2.13350	101.40843	50.00000	20.00000	0.15226
  20.22500	 1.78000	       2.13716	101.42236	50.00000	20.00000	0.15226
  20.22500	 1.79000	       2.14082	101.44160	50.00000	20.00000	0.15226
  20.22500	 1.80000	       2.13384	101.45553	50.00000	20.00000	0.15226
  20.22500	 1.81000	       2.14048	101.47477	50.00000	20.00000	0.15226
  20.62300	 1.82000	       2.13959	101.49468	50.00000	20.00000	0.15237
  20.22500	 1.83000	       2.13915	101.50794	50.00000	20.00000	0.15226
  20.62300	 1.84000	       2.13959	101.52785	50.00000	20.00000	0.15237
  20.62300	 1.85000	       2.13959	101.54775	50.00000	20.00000	0.15237
  20.62300	 1.86000	       2.13959	101.56765	50.00000	20.00000	0.15237
  20.62300	 1.87000	       2.13959	101.58755	50.00000	20.00000	0.15237
  20.62300	 1.88000	       2.13959	101.60812	50.00000	20.00000	0.15237
  20.62300	 1.89000	       2.13959	101.62471	50.00000	20.00000	0.15237
  20.62300	 1.90000	       2.13959	101.64394	50.00000	20.00000	0.15237
  20.62300	 1.91000	       2.13959	101.66119	50.00000	20.00000	0.15237
  20.62300	 1.92000	       2.13959	101.68309	50.00000	20.00000	0.15237
  20.62300	 1.93000	       2.13959	101.70100	50.00000	20.00000	0.15237
  20.62300	 1.94000	       2.13959	101.72289	50.00000	20.00000	0.15237
  21.02100	 1.95000	       2.13804	101.74412	50.00000	20.00000	0.15248
  21.02000	 1.96000	       2.14568	101.77397	50.00000	20.00000	0.15248
  21.02000	 1.97000	       2.16593	101.80184	50.00000	20.00000	0.15248
  21.02000	 1.98000	       2.16361	101.82970	50.00000	20.00000	0.15248
  21.02000	 1.99000	       2.16560	101.85690	50.00000	20.00000	0.15248
  21.02000	 2.00000	       2.17091	101.88675	50.00000	20.00000	0.15248
  21.02000	 2.01000	       2.17124	101.90865	50.00000	20.00000	0.15248
  21.02000	 2.02000	       2.17124	101.92656	50.00000	20.00000	0.15248
  21.41700	 2.03000	       2.16967	101.94779	50.00000	20.00000	0.15259
  21.41700	 2.04000	       2.16967	101.96570	50.00000	20.00000	0.15259
