#EXPORTTYPE:                 	DATA ALL                                                                                                                         
#FILE:                       	20260220_Al_WO3_60_40_loose_Ar_2p5Kmin.ngb-ss5                                                                                   
#FORMAT:                     	NETZSCH5                                                                                                                         
#FTYPE:                      	ASCII                                                                                                                            
#IDENTITY:                   	Loose Al-WO3 60-40 2.5Km                                                                                                         
#DECIMAL:                    	POINT                                                                                                                            
#SEPARATOR:                  	TAB                                                                                                                              
#MTYPE:                      	DTA                                                                                                                              
#INSTRUMENT:                 	NETZSCH STA 449F5                                                                                                                
#PROJECT:                    	THREAD                                                                                                                           
#DATE/TIME:                  	20/02/2026 19:12:48 (UTC+1)                                                                                                      
#CORR. FILE:                 	                                                                                                                                 
#TEMPCAL:                    	20260212_DTATG_CAL_AR_2P5KMIN_quadratic_T.ngb-ts5                                                                                
#SENSITIVITY:                	20260217_2P5Kmin_DTATG_Ar_sens.ngb-es5                                                                                           
#LABORATORY:                 	Politecnico Milano                                                                                                               
#OPERATOR:                   	Zanardi                                                                                                                          
#REMARK:                     	Al_WO3_60_40 ratio loose powder  heating program: 2.5 K/min Ar 0 50 20  T_start=25 ›C T_end = 1400›C  m_sample_mettler = 0.01439g
#SAMPLE:                     	Loose Al-WO3 60-40 2.5Km                                                                                                         
#SAMPLE MASS /mg:            	15.8912                                                                                                                          
#MATERIAL:                   	Al_WO3_thermite                                                                                                                  
#REFERENCE:                  	-                                                                                                                                
#REFERENCE MASS /mg:         	0                                                                                                                                
#TYPE OF CRUCIBLE:           	DTA/TG crucible Al2O3                                                                                                            
#SAMPLE CRUCIBLE MASS /mg:   	0                                                                                                                                
#REFERENCE CRUCIBLE MASS /mg:	0                                                                                                                                
#TG RANGE /mg:               	35000                                                                                                                            
#TAU-R:                      	---                                                                                                                              
#CORR. CODE:                 	000                                                                                                                              
#EXO:                        	+1                                                                                                                               
#RANGE:                      	25›C/2,5(K/min)/1400›C                                                                                                           
#SEGMENT:                    	S1/1                                                                                                                             
#SEG. 1:                     	25›C/2,5(K/min)/1400›C                                                                                                           

##Temp./›C	Time/min	DTA/(mW/mg)	Mass/%	Gas Flow(purge2)/(ml/min)	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)
  18.78300	  0.00000	       0.79110	100.00000	50.00000	20.00000	0.36656
  18.78000	  0.01000	       0.79123	 99.98804	50.00000	20.00000	0.36656
  19.18000	  0.02000	       0.79130	 99.98741	50.00000	20.00000	0.36652
  19.18000	  0.03000	       0.78933	 99.98490	50.00000	20.00000	0.36652
  18.77300	  0.04000	       0.78978	 99.98238	50.00000	20.00000	0.36656
  18.77300	  0.05000	       0.79109	 99.98175	50.00000	20.00000	0.36656
  18.77000	  0.06000	       0.79122	 99.98175	50.00000	20.00000	0.36656
  18.76600	  0.07000	       0.79122	 99.98175	50.00000	20.00000	0.36656
  18.76600	  0.08000	       0.79044	 99.98049	50.00000	20.00000	0.36656
  18.76300	  0.09000	       0.79057	 99.97986	50.00000	20.00000	0.36656
  18.76300	  0.10000	       0.79122	 99.97860	50.00000	20.00000	0.36656
  18.76000	  0.11000	       0.79122	 99.97735	50.00000	20.00000	0.36656
  18.75600	  0.12000	       0.79122	 99.97231	50.00000	20.00000	0.36656
  18.75600	  0.13000	       0.79122	 99.96917	50.00000	20.00000	0.36656
  18.75300	  0.14000	       0.79070	 99.96665	50.00000	20.00000	0.36656
  18.75300	  0.15000	       0.79122	 99.96413	50.00000	20.00000	0.36656
  18.75000	  0.16000	       0.79122	 99.96098	50.00000	20.00000	0.36656
  19.15000	  0.17000	       0.79129	 99.95973	50.00000	20.00000	0.36653
  19.15000	  0.18000	       0.79129	 99.95973	50.00000	20.00000	0.36653
  18.74300	  0.19000	       0.79122	 99.95973	50.00000	20.00000	0.36656
  18.74300	  0.20000	       0.79122	 99.95784	50.00000	20.00000	0.36656
  18.74000	  0.21000	       0.79122	 99.95595	50.00000	20.00000	0.36656
  18.73700	  0.22000	       0.79122	 99.95092	50.00000	20.00000	0.36656
  18.73700	  0.23000	       0.79122	 99.94588	50.00000	20.00000	0.36656
  18.73400	  0.24000	       0.79122	 99.93896	50.00000	20.00000	0.36656
  19.13700	  0.25000	       0.79129	 99.92889	50.00000	20.00000	0.36653
  18.73000	  0.26000	       0.79122	 99.92260	50.00000	20.00000	0.36656
  18.72700	  0.27000	       0.79122	 99.91945	50.00000	20.00000	0.36656
  18.72700	  0.28000	       0.79122	 99.91379	50.00000	20.00000	0.36656
  18.72400	  0.29000	       0.79122	 99.90498	50.00000	20.00000	0.36656
  18.72400	  0.30000	       0.79122	 99.89176	50.00000	20.00000	0.36656
  18.72100	  0.31000	       0.79122	 99.88421	50.00000	20.00000	0.36656
