#EXPORTTYPE:                 	DATA ALL                                                                                                                                           
#FILE:                       	20260211_Mg_SiO2_stoich_60wt_high_speed_Ar_10Kmin.ngb-ss5                                                                                          
#FORMAT:                     	NETZSCH5                                                                                                                                           
#FTYPE:                      	ASCII                                                                                                                                              
#IDENTITY:                   	Mg-SiO2                                                                                                                                            
#DECIMAL:                    	POINT                                                                                                                                              
#SEPARATOR:                  	TAB                                                                                                                                                
#MTYPE:                      	DTA                                                                                                                                                
#INSTRUMENT:                 	NETZSCH STA 449F5                                                                                                                                  
#PROJECT:                    	THREAD                                                                                                                                             
#DATE/TIME:                  	12/02/2026 11:11:03 (UTC+1)                                                                                                                        
#CORR. FILE:                 	                                                                                                                                                   
#TEMPCAL:                    	20260211_DTATG_CAL_AR_10KMIN_quadratic_T.ngb-ts5                                                                                                   
#SENSITIVITY:                	20250211_10Kmin_DTATG_Ar_sens.ngb-es5                                                                                                              
#LABORATORY:                 	Politecnico Milano                                                                                                                                 
#OPERATOR:                   	Paravan                                                                                                                                            
#REMARK:                     	Mg + SiO2 stoichiometric, 60% wt in high speed resin  heating program: 10 K/min Ar 0 50 20  T_start=25 ›C T_end = 850›C  m_sample_mettler = 0.01627
#SAMPLE:                     	Mg_SiO2_st_60_40_dlp                                                                                                                               
#SAMPLE MASS /mg:            	16.5525                                                                                                                                            
#MATERIAL:                   	Mg_Sio2_thermite                                                                                                                                   
#REFERENCE:                  	-                                                                                                                                                  
#REFERENCE MASS /mg:         	0                                                                                                                                                  
#TYPE OF CRUCIBLE:           	DTA/TG crucible Al2O3                                                                                                                              
#SAMPLE CRUCIBLE MASS /mg:   	0                                                                                                                                                  
#REFERENCE CRUCIBLE MASS /mg:	0                                                                                                                                                  
#TG RANGE /mg:               	35000                                                                                                                                              
#TAU-R:                      	---                                                                                                                                                
#CORR. CODE:                 	000                                                                                                                                                
#EXO:                        	+1                                                                                                                                                 
#RANGE:                      	25›C/10,0(K/min)/850›C                                                                                                                             
#SEGMENT:                    	S1/1                                                                                                                                               
#SEG. 1:                     	25›C/10,0(K/min)/850›C                                                                                                                             

##Temp./›C	Time/min	DTA/(mW/mg)	Mass/%	Gas Flow(purge2)/(ml/min)	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)
 23.48200	 0.00000	 0.87382	100.00000	50.00000	20.00000	0.30847
 23.48200	 0.01000	 0.87293	100.00000	50.00000	20.00000	0.30847
 23.48200	 0.02000	 0.87278	100.00000	50.00000	20.00000	0.30847
 23.48200	 0.03000	 0.87278	100.00060	50.00000	20.00000	0.30847
 23.48200	 0.04000	 0.87278	100.00060	50.00000	20.00000	0.30847
 23.48100	 0.05000	 0.87278	100.00242	50.00000	20.00000	0.30847
 23.48100	 0.06000	 0.87278	100.00362	50.00000	20.00000	0.30847
 23.48100	 0.07000	 0.87278	100.00483	50.00000	20.00000	0.30847
 23.48100	 0.08000	 0.87278	100.00665	50.00000	20.00000	0.30847
 23.48100	 0.09000	 0.87278	100.00785	50.00000	20.00000	0.30847
 23.48100	 0.10000	 0.87278	100.00906	50.00000	20.00000	0.30847
 23.48100	 0.11000	 0.87278	100.00967	50.00000	20.00000	0.30847
 23.48100	 0.12000	 0.87278	100.01087	50.00000	20.00000	0.30847
 23.48100	 0.13000	 0.87278	100.01087	50.00000	20.00000	0.30847
 23.48100	 0.14000	 0.87382	100.01148	50.00000	20.00000	0.30847
 23.48100	 0.15000	 0.87293	100.01148	50.00000	20.00000	0.30847
 23.48100	 0.16000	 0.87278	100.01208	50.00000	20.00000	0.30847
 23.48100	 0.17000	 0.87278	100.01208	50.00000	20.00000	0.30847
 23.48100	 0.18000	 0.87278	100.01269	50.00000	20.00000	0.30847
 23.48100	 0.19000	 0.87278	100.01269	50.00000	20.00000	0.30847
 23.48100	 0.20000	 0.87278	100.01329	50.00000	20.00000	0.30847
 23.48100	 0.21000	 0.87278	100.01390	50.00000	20.00000	0.30847
 23.48100	 0.22000	 0.87278	100.01450	50.00000	20.00000	0.30847
 23.48100	 0.23000	 0.87278	100.01510	50.00000	20.00000	0.30847
 23.48100	 0.24000	 0.87278	100.01571	50.00000	20.00000	0.30847
 23.48100	 0.25000	 0.87621	100.01571	50.00000	20.00000	0.30847
 23.48100	 0.26000	 0.87307	100.01631	50.00000	20.00000	0.30847
 23.48100	 0.27000	 0.87786	100.01692	50.00000	20.00000	0.30847
 23.48100	 0.28000	 0.87322	100.01752	50.00000	20.00000	0.30847
 23.48100	 0.29000	 0.87278	100.01752	50.00000	20.00000	0.30847
