#EXPORTTYPE:                 	DATA ALL                                                                                                                                          
#FILE:                       	20260218_Mg_SiO2_stoich_60wt_high_speed_Ar_2p5Kmin.ngb-ss5                                                                                        
#FORMAT:                     	NETZSCH5                                                                                                                                          
#FTYPE:                      	ASCII                                                                                                                                             
#IDENTITY:                   	Mg_SiO2_DLP                                                                                                                                       
#DECIMAL:                    	POINT                                                                                                                                             
#SEPARATOR:                  	TAB                                                                                                                                               
#MTYPE:                      	DTA                                                                                                                                               
#INSTRUMENT:                 	NETZSCH STA 449F5                                                                                                                                 
#PROJECT:                    	THREAD                                                                                                                                            
#DATE/TIME:                  	18/02/2026 16:13:24 (UTC+1)                                                                                                                       
#CORR. FILE:                 	                                                                                                                                                  
#TEMPCAL:                    	20260212_DTATG_CAL_AR_2P5KMIN_quadratic_T.ngb-ts5                                                                                                 
#SENSITIVITY:                	20260217_2P5Kmin_DTATG_Ar_sens.ngb-es5                                                                                                            
#LABORATORY:                 	Politecnico Milano                                                                                                                                
#OPERATOR:                   	PARAVAN                                                                                                                                           
#REMARK:                     	Mg + SiO2 stoichiometric, 60% wt in high speed resin  heating program: 5 K/min Ar 0 50 20  T_start=25 ›C T_end = 850›C  m_sample_mettler = 0.01528
#SAMPLE:                     	DLP_Mg_SiO2                                                                                                                                       
#SAMPLE MASS /mg:            	15.2500                                                                                                                                           
#MATERIAL:                   	Mg_Sio2_thermite                                                                                                                                  
#REFERENCE:                  	-                                                                                                                                                 
#REFERENCE MASS /mg:         	0                                                                                                                                                 
#TYPE OF CRUCIBLE:           	DTA/TG crucible Al2O3                                                                                                                             
#SAMPLE CRUCIBLE MASS /mg:   	0                                                                                                                                                 
#REFERENCE CRUCIBLE MASS /mg:	0                                                                                                                                                 
#TG RANGE /mg:               	35000                                                                                                                                             
#TAU-R:                      	---                                                                                                                                               
#CORR. CODE:                 	000                                                                                                                                               
#EXO:                        	+1                                                                                                                                                
#RANGE:                      	25›C/2,5(K/min)/850›C                                                                                                                             
#SEGMENT:                    	S1/1                                                                                                                                              
#SEG. 1:                     	25›C/2,5(K/min)/850›C                                                                                                                             

##Temp./›C	Time/min	DTA/(mW/mg)	Mass/%	Gas Flow(purge2)/(ml/min)	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)
 22.47500	  0.00000	       0.81154	100.00000	50.00000	20.00000	0.36624
 22.47500	  0.01000	       0.81154	100.00066	50.00000	20.00000	0.36624
 22.47500	  0.02000	       0.81154	100.00066	50.00000	20.00000	0.36624
 22.47500	  0.03000	       0.81154	100.00262	50.00000	20.00000	0.36624
 22.47500	  0.04000	       0.81154	100.00459	50.00000	20.00000	0.36624
 22.47500	  0.05000	       0.81154	100.00656	50.00000	20.00000	0.36624
 22.47500	  0.06000	       0.81154	100.00787	50.00000	20.00000	0.36624
 22.47500	  0.07000	       0.81154	100.00918	50.00000	20.00000	0.36624
 22.47500	  0.08000	       0.81154	100.01049	50.00000	20.00000	0.36624
 22.47500	  0.09000	       0.81154	100.01180	50.00000	20.00000	0.36624
 22.47500	  0.10000	       0.81154	100.01246	50.00000	20.00000	0.36624
 22.47500	  0.11000	       0.81154	100.01377	50.00000	20.00000	0.36624
 22.47500	  0.12000	       0.81154	100.01443	50.00000	20.00000	0.36624
 22.47500	  0.13000	       0.81154	100.01574	50.00000	20.00000	0.36624
 22.47500	  0.14000	       0.81154	100.01639	50.00000	20.00000	0.36624
 22.47500	  0.15000	       0.81154	100.01705	50.00000	20.00000	0.36624
 22.47500	  0.16000	       0.81154	100.01770	50.00000	20.00000	0.36624
 22.47400	  0.17000	       0.81154	100.01902	50.00000	20.00000	0.36624
 22.47500	  0.18000	       0.81154	100.01967	50.00000	20.00000	0.36624
 22.47500	  0.19000	       0.81154	100.02033	50.00000	20.00000	0.36624
 22.47500	  0.20000	       0.81154	100.02098	50.00000	20.00000	0.36624
 22.47500	  0.21000	       0.81154	100.02164	50.00000	20.00000	0.36624
 22.47400	  0.22000	       0.81154	100.02164	50.00000	20.00000	0.36624
 22.47400	  0.23000	       0.81154	100.02164	50.00000	20.00000	0.36624
 22.47400	  0.24000	       0.81072	100.02230	50.00000	20.00000	0.36624
 22.47400	  0.25000	       0.81154	100.02230	50.00000	20.00000	0.36624
 22.47400	  0.26000	       0.81154	100.02230	50.00000	20.00000	0.36624
 22.47400	  0.27000	       0.81154	100.02230	50.00000	20.00000	0.36624
 22.47300	  0.28000	       0.81154	100.02230	50.00000	20.00000	0.36624
 22.47300	  0.29000	       0.81154	100.02230	50.00000	20.00000	0.36624
 22.47300	  0.30000	       0.81154	100.02230	50.00000	20.00000	0.36624
 22.47300	  0.31000	       0.81154	100.02295	50.00000	20.00000	0.36624
 22.47300	  0.32000	       0.81154	100.02295	50.00000	20.00000	0.36624
 22.47300	  0.33000	       0.81154	100.02361	50.00000	20.00000	0.36624
 22.47300	  0.34000	       0.81154	100.02361	50.00000	20.00000	0.36624
 22.47300	  0.35000	       0.80854	100.02426	50.00000	20.00000	0.36624
 22.47300	  0.36000	       0.81127	100.02492	50.00000	20.00000	0.36624
 22.47300	  0.37000	       0.81154	100.02492	50.00000	20.00000	0.36624
 22.47300	  0.38000	       0.81154	100.02557	50.00000	20.00000	0.36624
 22.47300	  0.39000	       0.81154	100.02623	50.00000	20.00000	0.36624
 22.47300	  0.40000	       0.81154	100.02689	50.00000	20.00000	0.36624
 22.47300	  0.41000	       0.81154	100.02754	50.00000	20.00000	0.36624
 22.47300	  0.42000	       0.81154	100.02754	50.00000	20.00000	0.36624
 22.47300	  0.43000	       0.81154	100.02820	50.00000	20.00000	0.36624
 22.47300	  0.44000	       0.81154	100.02951	50.00000	20.00000	0.36624
 22.47300	  0.45000	       0.81154	100.03082	50.00000	20.00000	0.36624
 22.47300	  0.46000	       0.81154	100.03279	50.00000	20.00000	0.36624
 22.47300	  0.47000	       0.81154	100.03410	50.00000	20.00000	0.36624
 22.47300	  0.48000	       0.81154	100.03672	50.00000	20.00000	0.36624
 22.47300	  0.49000	       0.81154	100.03934	50.00000	20.00000	0.36624
 22.47300	  0.50000	       0.81154	100.04131	50.00000	20.00000	0.36624
 22.47300	  0.51000	       0.81154	100.04393	50.00000	20.00000	0.36624
 22.47200	  0.52000	       0.81154	100.04656	50.00000	20.00000	0.36624
 22.47200	  0.53000	       0.81154	100.04787	50.00000	20.00000	0.36624
 22.47200	  0.54000	       0.81154	100.04918	50.00000	20.00000	0.36624
 22.47200	  0.55000	       0.81154	100.05049	50.00000	20.00000	0.36624
 22.47200	  0.56000	       0.81154	100.05115	50.00000	20.00000	0.36624
 22.47200	  0.57000	       0.81154	100.05180	50.00000	20.00000	0.36624
 22.47200	  0.58000	       0.81154	100.05311	50.00000	20.00000	0.36624
 22.47200	  0.59000	       0.81154	100.05377	50.00000	20.00000	0.36624
 22.47200	  0.60000	       0.81154	100.05443	50.00000	20.00000	0.36624
 22.47200	  0.61000	       0.81154	100.05574	50.00000	20.00000	0.36624
 22.47200	  0.62000	       0.81154	100.05639	50.00000	20.00000	0.36624
 22.47200	  0.63000	       0.81154	100.05705	50.00000	20.00000	0.36624
 22.47200	  0.64000	       0.81154	100.05770	50.00000	20.00000	0.36624
 22.47200	  0.65000	       0.81154	100.05770	50.00000	20.00000	0.36624
 22.47200	  0.66000	       0.81154	100.05836	50.00000	20.00000	0.36624
 22.47200	  0.67000	       0.81154	100.05902	50.00000	20.00000	0.36624
 22.47200	  0.68000	       0.81154	100.05967	50.00000	20.00000	0.36624
 22.47200	  0.69000	       0.81154	100.05967	50.00000	20.00000	0.36624
 22.47200	  0.70000	       0.81154	100.06033	50.00000	20.00000	0.36624
 22.47200	  0.71000	       0.81154	100.06098	50.00000	20.00000	0.36624
 22.47100	  0.72000	       0.81154	100.06164	50.00000	20.00000	0.36624
 22.47200	  0.73000	       0.81154	100.06230	50.00000	20.00000	0.36624
 22.47200	  0.74000	       0.81154	100.06361	50.00000	20.00000	0.36624
 22.47100	  0.75000	       0.81154	100.06426	50.00000	20.00000	0.36624
 22.47100	  0.76000	       0.81154	100.06492	50.00000	20.00000	0.36624
 22.47100	  0.77000	       0.81154	100.06557	50.00000	20.00000	0.36624
 22.47100	  0.78000	       0.81154	100.06623	50.00000	20.00000	0.36624
 22.47100	  0.79000	       0.81154	100.06820	50.00000	20.00000	0.36624
 22.47100	  0.80000	       0.81154	100.06951	50.00000	20.00000	0.36624
 22.47100	  0.81000	       0.81154	100.07082	50.00000	20.00000	0.36624
 22.47100	  0.82000	       0.81154	100.07279	50.00000	20.00000	0.36624
 22.47100	  0.83000	       0.81154	100.07410	50.00000	20.00000	0.36624
 22.47100	  0.84000	       0.81154	100.07541	50.00000	20.00000	0.36624
 22.47100	  0.85000	       0.81154	100.07607	50.00000	20.00000	0.36624
 22.47100	  0.86000	       0.81154	100.07738	50.00000	20.00000	0.36624
 22.47100	  0.87000	       0.81154	100.07803	50.00000	20.00000	0.36624
 22.47100	  0.88000	       0.81154	100.07934	50.00000	20.00000	0.36624
 22.47100	  0.89000	       0.81154	100.08000	50.00000	20.00000	0.36624
