#EXPORTTYPE:                 	DATA ALL                                                                                                                             
#FILE:                       	20260220_Mg_SiO2_stoich_loose_Ar_20Kmin.ngb-ss5                                                                                      
#FORMAT:                     	NETZSCH5                                                                                                                             
#FTYPE:                      	ASCII                                                                                                                                
#IDENTITY:                   	Loose Mg-SiO2 stoich                                                                                                                 
#DECIMAL:                    	POINT                                                                                                                                
#SEPARATOR:                  	TAB                                                                                                                                  
#MTYPE:                      	DTA                                                                                                                                  
#INSTRUMENT:                 	NETZSCH STA 449F5                                                                                                                    
#PROJECT:                    	THREAD                                                                                                                               
#DATE/TIME:                  	20/02/2026 16:16:43 (UTC+1)                                                                                                          
#CORR. FILE:                 	                                                                                                                                     
#TEMPCAL:                    	20260211_DTATG_CAL_AR_20KMIN_quadratic_T.ngb-ts5                                                                                     
#SENSITIVITY:                	20260211_20Kmin_DTATG_Ar_sens.ngb-es5                                                                                                
#LABORATORY:                 	Politecnico Milano                                                                                                                   
#OPERATOR:                   	Zanardi                                                                                                                              
#REMARK:                     	Mg + SiO2 stoichiometric, loose powder  heating program: 20 K/min Ar 0 50 20  T_start=25 ›C T_end = 850›C  m_sample_mettler = 0.01582
#SAMPLE:                     	Loose Mg-SiO2 stoich                                                                                                                 
#SAMPLE MASS /mg:            	16.2475                                                                                                                              
#MATERIAL:                   	Mg_Sio2_thermite                                                                                                                     
#REFERENCE:                  	-                                                                                                                                    
#REFERENCE MASS /mg:         	0                                                                                                                                    
#TYPE OF CRUCIBLE:           	DTA/TG crucible Al2O3                                                                                                                
#SAMPLE CRUCIBLE MASS /mg:   	0                                                                                                                                    
#REFERENCE CRUCIBLE MASS /mg:	0                                                                                                                                    
#TG RANGE /mg:               	35000                                                                                                                                
#TAU-R:                      	---                                                                                                                                  
#CORR. CODE:                 	000                                                                                                                                  
#EXO:                        	+1                                                                                                                                   
#RANGE:                      	25›C/20,0(K/min)/850›C                                                                                                               
#SEGMENT:                    	S1/1                                                                                                                                 
#SEG. 1:                     	25›C/20,0(K/min)/850›C                                                                                                               

##Temp./›C	Time/min	DTA/(mW/mg)	Mass/%	Gas Flow(purge2)/(ml/min)	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)
 21.44000	 0.00000	 1.85895	100.00000	50.00000	20.00000	0.15260
 21.44000	 0.01000	 1.85895	 99.99938	50.00000	20.00000	0.15260
 21.44000	 0.02000	 1.85895	 99.99877	50.00000	20.00000	0.15260
 21.43900	 0.03000	 1.85896	 99.99815	50.00000	20.00000	0.15260
 21.43900	 0.04000	 1.85896	 99.99754	50.00000	20.00000	0.15260
 21.43900	 0.05000	 1.85896	 99.99692	50.00000	20.00000	0.15260
 21.43900	 0.06000	 1.85896	 99.99631	50.00000	20.00000	0.15260
 21.43900	 0.07000	 1.85896	 99.99508	50.00000	20.00000	0.15260
 21.43800	 0.08000	 1.85896	 99.99446	50.00000	20.00000	0.15260
 21.43800	 0.09000	 1.85896	 99.99261	50.00000	20.00000	0.15260
 21.43800	 0.10000	 1.85896	 99.99200	50.00000	20.00000	0.15260
 21.43700	 0.11000	 1.85896	 99.99077	50.00000	20.00000	0.15260
 21.43700	 0.12000	 1.85896	 99.99015	50.00000	20.00000	0.15260
 21.43700	 0.13000	 1.85896	 99.98892	50.00000	20.00000	0.15260
 21.43700	 0.14000	 1.85896	 99.98831	50.00000	20.00000	0.15260
 21.43600	 0.15000	 1.85897	 99.98707	50.00000	20.00000	0.15260
 21.43600	 0.16000	 1.85897	 99.98584	50.00000	20.00000	0.15260
 21.43600	 0.17000	 1.85897	 99.98523	50.00000	20.00000	0.15260
 21.43500	 0.18000	 1.85897	 99.98400	50.00000	20.00000	0.15259
 21.43500	 0.19000	 1.85897	 99.98277	50.00000	20.00000	0.15259
 21.43500	 0.20000	 1.85897	 99.98215	50.00000	20.00000	0.15259
 21.43400	 0.21000	 1.85897	 99.98092	50.00000	20.00000	0.15259
 21.43400	 0.22000	 1.85897	 99.97969	50.00000	20.00000	0.15259
 21.43400	 0.23000	 1.85897	 99.97907	50.00000	20.00000	0.15259
 21.43400	 0.24000	 1.85897	 99.97784	50.00000	20.00000	0.15259
 21.43400	 0.25000	 1.85897	 99.97661	50.00000	20.00000	0.15259
 21.43300	 0.26000	 1.85898	 99.97600	50.00000	20.00000	0.15259
 21.43300	 0.27000	 1.85898	 99.97477	50.00000	20.00000	0.15259
 21.43300	 0.28000	 1.85898	 99.97415	50.00000	20.00000	0.15259
 21.43300	 0.29000	 1.85898	 99.97353	50.00000	20.00000	0.15259
 21.43200	 0.30000	 1.85898	 99.97292	50.00000	20.00000	0.15259
 21.43200	 0.31000	 1.85898	 99.97292	50.00000	20.00000	0.15259
 21.43200	 0.32000	 1.85898	 99.97292	50.00000	20.00000	0.15259
 21.43200	 0.33000	 1.85898	 99.97230	50.00000	20.00000	0.15259
 21.43200	 0.34000	 1.85898	 99.97230	50.00000	20.00000	0.15259
 21.43100	 0.35000	 1.85898	 99.97230	50.00000	20.00000	0.15259
 21.43000	 0.36000	 1.85899	 99.97230	50.00000	20.00000	0.15259
 21.43000	 0.37000	 1.85899	 99.97230	50.00000	20.00000	0.15259
 21.43000	 0.38000	 1.85899	 99.97230	50.00000	20.00000	0.15259
 21.43000	 0.39000	 1.85899	 99.97230	50.00000	20.00000	0.15259
 21.42900	 0.40000	 1.85899	 99.97230	50.00000	20.00000	0.15259
 21.42900	 0.41000	 1.85899	 99.97230	50.00000	20.00000	0.15259
 21.42900	 0.42000	 1.85899	 99.97230	50.00000	20.00000	0.15259
 21.42900	 0.43000	 1.85899	 99.97230	50.00000	20.00000	0.15259
 21.42900	 0.44000	 1.85899	 99.97230	50.00000	20.00000	0.15259
 21.42800	 0.45000	 1.85899	 99.97230	50.00000	20.00000	0.15259
 21.42800	 0.46000	 1.85899	 99.97230	50.00000	20.00000	0.15259
 21.42800	 0.47000	 1.85899	 99.97230	50.00000	20.00000	0.15259
 21.42700	 0.48000	 1.85900	 99.97230	50.00000	20.00000	0.15259
 21.42700	 0.49000	 1.85900	 99.97230	50.00000	20.00000	0.15259
 21.42700	 0.50000	 1.85900	 99.97230	50.00000	20.00000	0.15259
 21.42700	 0.51000	 1.85900	 99.97230	50.00000	20.00000	0.15259
 21.42700	 0.52000	 1.85900	 99.97230	50.00000	20.00000	0.15259
 21.42600	 0.53000	 1.85900	 99.97230	50.00000	20.00000	0.15259
 21.42600	 0.54000	 1.85900	 99.97415	50.00000	20.00000	0.15259
 21.42600	 0.55000	 1.85900	 99.97600	50.00000	20.00000	0.15259
 21.42500	 0.56000	 1.85900	 99.97784	50.00000	20.00000	0.15259
 21.42500	 0.57000	 1.85900	 99.97969	50.00000	20.00000	0.15259
 21.42500	 0.58000	 1.85900	 99.98277	50.00000	20.00000	0.15259
 21.42500	 0.59000	 1.85900	 99.98584	50.00000	20.00000	0.15259
 21.42500	 0.60000	 1.85900	 99.98831	50.00000	20.00000	0.15259
 21.42500	 0.61000	 1.85900	 99.99138	50.00000	20.00000	0.15259
 21.42500	 0.62000	 1.86054	 99.99508	50.00000	20.00000	0.15259
 21.42400	 0.63000	 1.85932	 99.99877	50.00000	20.00000	0.15259
 21.42400	 0.64000	 1.85901	100.00246	50.00000	20.00000	0.15259
 21.42400	 0.65000	 1.85901	100.00677	50.00000	20.00000	0.15259
 21.42300	 0.66000	 1.85901	100.00985	50.00000	20.00000	0.15259
 21.42300	 0.67000	 1.85901	100.01354	50.00000	20.00000	0.15259
 21.42300	 0.68000	 1.86116	100.01662	50.00000	20.00000	0.15259
 21.42300	 0.69000	 1.85932	100.02154	50.00000	20.00000	0.15259
 21.42200	 0.70000	 1.85901	100.02647	50.00000	20.00000	0.15259
 21.42200	 0.71000	 1.86117	100.03139	50.00000	20.00000	0.15259
 21.42200	 0.72000	 1.85932	100.03631	50.00000	20.00000	0.15259
 21.42200	 0.73000	 1.85901	100.03939	50.00000	20.00000	0.15259
 21.42200	 0.74000	 1.86209	100.04308	50.00000	20.00000	0.15259
 21.42100	 0.75000	 1.88087	100.05355	50.00000	20.00000	0.15259
 21.42100	 0.76000	 1.87440	100.05847	50.00000	20.00000	0.15259
 21.42100	 0.77000	 1.87902	100.06463	50.00000	20.00000	0.15259
 21.42000	 0.78000	 1.88764	100.06955	50.00000	20.00000	0.15259
 21.42000	 0.79000	 1.86856	100.07447	50.00000	20.00000	0.15259
 21.42000	 0.80000	 1.88672	100.07940	50.00000	20.00000	0.15259
 21.42000	 0.81000	 1.87964	100.08801	50.00000	20.00000	0.15259
 21.42000	 0.82000	 1.87287	100.09355	50.00000	20.00000	0.15259
 21.42000	 0.83000	 1.88826	100.10217	50.00000	20.00000	0.15259
 21.42000	 0.84000	 1.87964	100.10463	50.00000	20.00000	0.15259
 21.81600	 0.85000	 1.88075	100.10525	50.00000	20.00000	0.15270
 21.41800	 0.86000	 1.88919	100.11079	50.00000	20.00000	0.15259
 21.81500	 0.87000	 1.88844	100.11756	50.00000	20.00000	0.15270
 21.41800	 0.88000	 1.88980	100.12371	50.00000	20.00000	0.15259
 21.41800	 0.89000	 1.88980	100.12802	50.00000	20.00000	0.15259
 21.41800	 0.90000	 1.88980	100.13233	50.00000	20.00000	0.15259
 21.81400	 0.91000	 1.88844	100.14094	50.00000	20.00000	0.15270
 21.41700	 0.92000	 1.88980	100.15264	50.00000	20.00000	0.15259
 21.81300	 0.93000	 1.88844	100.15387	50.00000	20.00000	0.15270
 21.81300	 0.94000	 1.88844	100.15756	50.00000	20.00000	0.15270
 21.81300	 0.95000	 1.88844	100.16433	50.00000	20.00000	0.15270
 21.81300	 0.96000	 1.88844	100.17110	50.00000	20.00000	0.15270
 21.81300	 0.97000	 1.88844	100.17726	50.00000	20.00000	0.15270
 21.81200	 0.98000	 1.88845	100.18464	50.00000	20.00000	0.15270
 21.81200	 0.99000	 1.88845	100.19326	50.00000	20.00000	0.15270
 21.81200	 1.00000	 1.88845	100.19695	50.00000	20.00000	0.15270
 21.81200	 1.01000	 1.88845	100.20434	50.00000	20.00000	0.15270
 21.81200	 1.02000	 1.88845	100.21049	50.00000	20.00000	0.15270
 21.81200	 1.03000	 1.89890	100.22342	50.00000	20.00000	0.15270
 21.81200	 1.04000	 1.89152	100.22773	50.00000	20.00000	0.15270
 21.81200	 1.05000	 1.88999	100.23204	50.00000	20.00000	0.15270
 21.81100	 1.06000	 1.89337	100.24127	50.00000	20.00000	0.15270
 21.81100	 1.07000	 1.89891	100.25419	50.00000	20.00000	0.15270
 21.81000	 1.08000	 1.89953	100.25912	50.00000	20.00000	0.15270
 21.81000	 1.09000	 1.90875	100.26712	50.00000	20.00000	0.15270
 21.81000	 1.10000	 1.90937	100.27635	50.00000	20.00000	0.15270
 21.80900	 1.11000	 1.91152	100.28804	50.00000	20.00000	0.15270
 21.80900	 1.12000	 1.91183	100.29235	50.00000	20.00000	0.15270
 21.80900	 1.13000	 1.91675	100.30466	50.00000	20.00000	0.15270
 21.80900	 1.14000	 1.91921	100.31451	50.00000	20.00000	0.15270
 21.80900	 1.15000	 1.91921	100.33051	50.00000	20.00000	0.15270
 21.80800	 1.16000	 1.91921	100.33605	50.00000	20.00000	0.15270
 21.80800	 1.17000	 1.91921	100.35082	50.00000	20.00000	0.15270
 21.80800	 1.18000	 1.91921	100.36313	50.00000	20.00000	0.15270
 21.80800	 1.19000	 1.91921	100.37236	50.00000	20.00000	0.15270
 21.80800	 1.20000	 1.91921	100.38714	50.00000	20.00000	0.15270
 21.80800	 1.21000	 1.91921	100.39698	50.00000	20.00000	0.15270
 21.80800	 1.22000	 1.91921	100.40683	50.00000	20.00000	0.15270
 21.80700	 1.23000	 1.91922	100.42283	50.00000	20.00000	0.15270
 21.80700	 1.24000	 1.91922	100.42837	50.00000	20.00000	0.15270
 21.80700	 1.25000	 1.91922	100.44315	50.00000	20.00000	0.15270
 21.80700	 1.26000	 1.91922	100.45607	50.00000	20.00000	0.15270
