#EXPORTTYPE:                 	DATA ALL                                                                                                                             
#FILE:                       	20260224_Mg_SiO2_stoich_loose_Ar_10Kmin.ngb-ss5                                                                                      
#FORMAT:                     	NETZSCH5                                                                                                                             
#FTYPE:                      	ASCII                                                                                                                                
#IDENTITY:                   	LOOSE_MgSiO2                                                                                                                         
#DECIMAL:                    	POINT                                                                                                                                
#SEPARATOR:                  	TAB                                                                                                                                  
#MTYPE:                      	DTA                                                                                                                                  
#INSTRUMENT:                 	NETZSCH STA 449F5                                                                                                                    
#PROJECT:                    	THREAD                                                                                                                               
#DATE/TIME:                  	24/02/2026 14:51:00 (UTC+1)                                                                                                          
#CORR. FILE:                 	                                                                                                                                     
#TEMPCAL:                    	20260211_DTATG_CAL_AR_10KMIN_quadratic_T.ngb-ts5                                                                                     
#SENSITIVITY:                	20260211_10Kmin_DTATG_Ar_sens.ngb-es5                                                                                                
#LABORATORY:                 	Politecnico Milano                                                                                                                   
#OPERATOR:                   	Zanardi                                                                                                                              
#REMARK:                     	Mg + SiO2 stoichiometric, loose powder  heating program: 10 K/min Ar 0 50 20  T_start=25 ›C T_end = 850›C  m_sample_mettler = 0.01603
#SAMPLE:                     	LOOSE_MgSiO2                                                                                                                         
#SAMPLE MASS /mg:            	15.8825                                                                                                                              
#MATERIAL:                   	Mg_Sio2_thermite                                                                                                                     
#REFERENCE:                  	-                                                                                                                                    
#REFERENCE MASS /mg:         	0                                                                                                                                    
#TYPE OF CRUCIBLE:           	DTA/TG crucible Al2O3                                                                                                                
#SAMPLE CRUCIBLE MASS /mg:   	0                                                                                                                                    
#REFERENCE CRUCIBLE MASS /mg:	0                                                                                                                                    
#TG RANGE /mg:               	35000                                                                                                                                
#TAU-R:                      	---                                                                                                                                  
#CORR. CODE:                 	000                                                                                                                                  
#EXO:                        	+1                                                                                                                                   
#RANGE:                      	25›C....950›C/0,0....30,0K/min                                                                                                       
#SEGMENT:                    	S1-3/3                                                                                                                               
#SEG. 1:                     	25›C/10,0(K/min)/850›C                                                                                                               
#SEG. 2:                     	850›C/00:05/850›C                                                                                                                    
#SEG. 3:                     	850›C/30,0(K/min)/950›C                                                                                                              

##Temp./›C	Time/min	DTA/(mW/mg)	Mass/%	Gas Flow(purge1)/(ml/min)	Gas Flow(purge2)/(ml/min)	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)	Segment
 21.64500	 0.00000	 0.94058	100.00000	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64500	 0.01000	 0.94058	100.00063	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.02000	 0.94058	100.00126	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.03000	 0.94058	100.00126	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.04000	 0.94058	100.00189	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.05000	 0.94058	100.00252	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.06000	 0.94058	100.00315	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.07000	 0.94058	100.00378	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.08000	 0.94058	100.00441	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.09000	 0.94058	100.00504	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.10000	 0.94058	100.00567	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.11000	 0.94058	100.00630	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.12000	 0.94058	100.00693	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.13000	 0.93824	100.00756	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.14000	 0.94042	100.00819	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.15000	 0.94058	100.00881	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.16000	 0.94058	100.01007	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.17000	 0.94058	100.01070	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64400	 0.18000	 0.94058	100.01133	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64300	 0.19000	 0.94058	100.01196	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64300	 0.20000	 0.94058	100.01196	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64300	 0.21000	 0.94058	100.01259	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64300	 0.22000	 0.94058	100.01259	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64300	 0.23000	 0.94058	100.01322	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64300	 0.24000	 0.94058	100.01322	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64300	 0.25000	 0.94058	100.01322	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64300	 0.26000	 0.94058	100.01322	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64300	 0.27000	 0.94058	100.01322	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64300	 0.28000	 0.94058	100.01322	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.29000	 0.94058	100.01322	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.30000	 0.94058	100.01322	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64300	 0.31000	 0.94058	100.01322	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.32000	 0.94058	100.01322	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.33000	 0.94058	100.01322	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.34000	 0.94058	100.01322	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.35000	 0.94058	100.01322	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.36000	 0.94058	100.01322	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.37000	 0.94058	100.01322	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.38000	 0.94058	100.01385	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.39000	 0.94058	100.01385	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.40000	 0.94058	100.01448	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.41000	 0.94058	100.01448	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.42000	 0.94058	100.01511	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.43000	 0.94058	100.01637	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.44000	 0.94058	100.01889	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.45000	 0.94058	100.02141	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.46000	 0.94058	100.02456	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.47000	 0.94058	100.02770	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64200	 0.48000	 0.94058	100.03085	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64100	 0.49000	 0.94058	100.03337	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64100	 0.50000	 0.94058	100.03652	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64100	 0.51000	 0.94058	100.03904	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64100	 0.52000	 0.94058	100.04156	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64100	 0.53000	 0.94058	100.04344	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64100	 0.54000	 0.94058	100.04533	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64100	 0.55000	 0.94058	100.04785	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64100	 0.56000	 0.94058	100.04974	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64100	 0.57000	 0.94058	100.05226	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64100	 0.58000	 0.94058	100.05478	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64100	 0.59000	 0.94058	100.05667	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64100	 0.60000	 0.94058	100.05793	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64100	 0.61000	 0.94058	100.05981	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64100	 0.62000	 0.94058	100.06170	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64100	 0.63000	 0.94058	100.06296	0.000000e+000	     50.00000	20.00000	0.30852	1
 21.64100	 0.64000	 0.94058	100.06422	0.000000e+000	     50.00000	20.00000	0.30852	1
