#EXPORTTYPE:                 	DATA ALL                                                                                                                             
#FILE:                       	20260224_Mg_SiO2_stoich_loose_Ar_5Kmin.ngb-ss5                                                                                       
#FORMAT:                     	NETZSCH5                                                                                                                             
#FTYPE:                      	ASCII                                                                                                                                
#IDENTITY:                   	LOOSE_MgSiO2                                                                                                                         
#DECIMAL:                    	COMMA                                                                                                                                
#SEPARATOR:                  	TAB                                                                                                                                  
#MTYPE:                      	DTA                                                                                                                                  
#INSTRUMENT:                 	NETZSCH STA 449F5                                                                                                                    
#PROJECT:                    	THREAD                                                                                                                               
#DATE/TIME:                  	24/02/2026 18:39:34 (UTC+1)                                                                                                          
#CORR. FILE:                 	                                                                                                                                     
#TEMPCAL:                    	20260212_DTATG_CAL_AR_5KMIN_quadratic_T.ngb-ts5                                                                                      
#SENSITIVITY:                	20260212_5Kmin_DTATG_Ar_sens.ngb-es5                                                                                                 
#LABORATORY:                 	Politecnico Milano                                                                                                                   
#OPERATOR:                   	PARAVAN                                                                                                                              
#REMARK:                     	Mg + SiO2 stoichiometric. loose powder  heating program: 20 K/min Ar 0 50 20  T_start=25  C T_end = 850 C  m_sample_mettler = 0.01566
#SAMPLE:                     	LOOSE_MgSiO2                                                                                                                         
#SAMPLE MASS /mg:            	15.6245                                                                                                                              
#MATERIAL:                   	Mg_Sio2_thermite                                                                                                                     
#REFERENCE:                  	-                                                                                                                                    
#REFERENCE MASS /mg:         	0                                                                                                                                    
#TYPE OF CRUCIBLE:           	DTA/TG crucible Al2O3                                                                                                                
#SAMPLE CRUCIBLE MASS /mg:   	0                                                                                                                                    
#REFERENCE CRUCIBLE MASS /mg:	0                                                                                                                                    
#TG RANGE /mg:               	35000                                                                                                                                
#TAU-R:                      	---                                                                                                                                  
#CORR. CODE:                 	000                                                                                                                                  
#EXO:                        	+1                                                                                                                                   
#RANGE:                      	25 C/20.0(K/min)/850 C                                                                                                               
#SEGMENT:                    	S1/3                                                                                                                                 
#SEG. 1:                     	25 C/20.0(K/min)/850 C                                                                                                               

##Temp./ C	Time/min	DTA/(mW/mg)	Mass/%	Gas Flow(purge1)/(ml/min)	Gas Flow(purge2)/(ml/min)	Gas Flow(protective)/(ml/min)	Sensit./(uV/mW)
 18.79800	 0.00000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39400	 0.01000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39400	 0.02000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39400	 0.03000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39400	 0.04000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39400	 0.05000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39400	 0.06000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39400	 0.07000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79700	 0.08000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79700	 0.09000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39400	 0.10000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39300	 0.11000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39300	 0.12000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39300	 0.13000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39300	 0.14000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39300	 0.15000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39300	 0.16000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.79600	 0.17000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39300	 0.18000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39300	 0.19000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39300	 0.20000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39300	 0.21000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39200	 0.22000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
 18.39200	 0.23000	 0.97168	100.00000	0.000000e+000	50.00000	20.00000	0.30860
